enstxids	sym	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
ENST00000444053	AAMP	63.46	52.85	54.9	71.12	70.84	74.12	74.43	59.31	46	39.29	36.36	58.53
ENST00000374736	ABCA1	1.37	4.09	1.43	2.12	17.17	11.42	3.18	6.84	3.99	6.61	58.62	27.43
ENST00000301732	ABCA3	1.11	2.44	2.37	1.64	19.72	3.11	1	1	1.69	1.11	11.52	1.25
ENST00000344517	ABCB10	9.6	11.33	8.25	9.31	6.46	9.19	8.61	7.94	10.48	11.02	6.86	11.52
ENST00000285238	ABCC3	8.47	6.41	6.46	3.62	1.13	9.02	6.98	8.03	7.62	3.4	1.59	9.26
ENST00000222388	ABCF2	52.14	48.41	34.59	55.61	58.76	53.64	65.9	63.26	31.93	33.12	61.02	71.86
ENST00000273359	ABHD10	14.14	12.54	10.24	19.73	19.5	13.85	22.81	32.08	15.61	15.08	36.53	25.92
ENST00000483233	ABHD14B	12.96	11.91	17.63	15.53	22.96	9.48	23.46	16.1	26.4	10.05	21.56	7.31
ENST00000428304	ABHD4	11.72	10.62	35.94	17.91	10.67	13.44	9.95	19.66	36.07	8.62	10.22	14.12
ENST00000458276	ABHD5	21.41	25.38	18.8	39.35	48.61	19.99	23.61	44.91	15.86	22.48	52.58	25.24
ENST00000225941	ABI3	8.67	1.71	5.51	8.7	1	10.41	6.03	1	3.67	1.06	1	3.05
ENST00000502732	ABL2	14.3	15.12	12.03	23.89	27.31	12.93	9.88	17.06	8.91	19.86	33.76	15.83
ENST00000274849	ABT1	15.09	11.61	13	18.04	12.28	16.38	29.59	25.41	23.53	24.12	11.36	32.55
ENST00000232744	ABTB1	3.76	5.76	9.6	3.4	5.58	11.42	2.05	3.85	6.72	3.61	2.48	4.5
ENST00000433511	AC006465.3	5	6.04	6.27	5.42	8.92	4.97	5.54	21.8	10.51	13.34	13.02	7.13
ENST00000418788	AC012318.1	44.41	4.36	30.9	48.21	6.18	9.24	30.75	29.11	10.57	19.34	14.68	14.9
ENST00000251473	AC024575.1	32.21	38.4	35.21	30.22	72.58	36.59	4.96	6.63	10.7	11.84	14.83	3.09
ENST00000448136	AC090699.1	33.86	21.26	27.9	48.36	37.5	53.16	12.16	6.06	1.72	9.96	10.35	31.36
ENST00000353139	ACACA	18.41	14.09	45.19	21.63	12.63	21.63	15.12	11.91	44.97	26.33	16.28	23.85
ENST00000354700	ACAP3	17.39	13.32	17.15	14.59	12.43	16.44	7.1	8.48	10.03	12.29	4.55	6.25
ENST00000541436	ACAT2	30.92	19.37	152.44	31.68	12.31	43.54	76.01	51.58	247.47	61.41	25.93	82.25
ENST00000393919	ACD	20.87	10.34	13.85	18.17	5.58	13.24	25.05	13.18	15.86	16.79	4.31	10.55
ENST00000401700	ACLY	119.72	113.23	246.48	130.42	138.74	113.27	177.79	174.46	428.79	210.33	251.63	165.15
ENST00000432641	ACN9	4.08	2.85	3.39	5.22	4.22	4.31	26.33	26.57	15.88	10.63	21.62	20.06
ENST00000230048	ACOT13	26.44	17.46	28.61	30.23	34.91	23.37	25.81	35.78	23.45	13.85	50.56	24.91
ENST00000272067	ACP1	34.44	35.68	31.56	39.18	53.94	49.49	51.29	51.87	26.47	40	61.6	53.38
