GeneID	GSM1041191	GSM1041192	GSM1041193	GSM1041194	GSM1041195	GSM1041196	GSM1041197	GSM1041198	GSM1041199
100287102	8	9	4	8	5	9	9	8	8
653635	467	491	397	479	340	388	416	318	433
102466751	9	8	7	7	3	8	3	2	6
107985730	0	1	1	0	1	1	0	0	1
100302278	0	0	0	0	0	0	0	0	0
645520	1	1	2	1	2	2	1	3	0
79501	1	0	0	2	0	1	0	0	0
100996442	40	53	57	58	22	38	42	35	38
729737	127	153	163	148	93	126	79	59	181
102725121	14	12	7	8	7	12	14	10	11
102723897	519	563	427	526	361	418	435	346	476
102465909	7	8	6	8	5	8	3	2	7
107985721	1	1	3	1	0	1	2	1	1
112268260	25	30	18	25	13	21	11	13	14
729759	2	0	0	1	0	0	0	0	0
100132287	150	185	175	134	91	118	63	41	122
105378947	1	2	1	3	3	4	2	3	3
101928626	0	0	0	0	0	1	2	1	0
113219467	1309	1380	878	1256	1079	1211	887	1867	928
81399	5	6	5	3	4	4	2	2	1
100133331	177	196	190	138	104	120	88	55	152
107984841	31	33	46	36	26	24	11	9	22
107984847	45	65	61	41	31	33	13	10	34
107984849	6	9	7	4	3	4	3	1	2
100288069	58	58	48	38	30	31	27	17	28
105378580	18	12	29	28	17	7	28	24	29
400728	5	6	12	6	7	3	5	2	4
79854	18	32	23	24	11	20	12	23	20
643837	334	406	466	518	515	441	508	525	620
107984850	0	1	0	0	2	1	0	1	0
284593	3	3	1	2	4	4	4	4	3
284600	5	3	10	7	3	4	29	7	6
100130417	1	7	1	1	0	3	52	0	3
107985728	20	21	1	1	4	10	102	0	10
148398	279	295	122	153	291	273	501	291	412
26155	4882	4750	2444	2909	5305	5026	4910	5476	6435
339451	723	703	507	510	503	543	611	491	1042
84069	168	162	193	257	176	192	334	311	461
84808	21	23	25	32	29	27	32	40	48
57801	33	66	29	59	13	11	85	48	85
9636	464	800	935	2082	859	499	561	1548	1414
375790	2841	3438	2678	3784	2206	2101	9130	11770	9718
100288175	5	13	11	27	9	22	5	7	9
112267874	1	1	2	3	0	1	3	0	1
105378948	3	8	9	17	8	15	5	6	8
401934	0	1	0	0	0	0	0	1	0
54991	387	406	277	360	326	307	474	384	773
254099	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0	1
254173	0	0	0	1	1	0	0	0	1
8784	2	0	1	0	0	0	15	0	1
7293	3	3	3	6	5	6	6	7	1
51150	4348	4358	3851	4945	3787	3259	9353	9752	8289
126792	989	998	875	1131	794	652	1740	1222	2109
388581	14	24	21	17	18	19	13	4	17
118424	1587	1589	1002	1136	1412	1333	2104	2105	2690
101928895	57	67	53	52	27	27	67	79	70
6339	91	140	113	126	48	95	110	168	197
116983	1595	1740	1332	1653	1138	1196	2229	1653	2405
102465434	0	1	0	0	1	1	0	1	0
109623456	7	4	8	5	3	4	4	3	5
126789	596	567	341	511	431	431	835	592	748
54973	2204	2072	1469	1791	1613	1634	2624	1826	2666
102465435	13	13	10	16	11	7	8	14	7
80772	840	868	599	732	635	585	1339	1281	1370
83756	27	30	23	30	18	26	47	38	29
1855	2798	2918	1673	2253	2366	2593	3815	2542	3745
102466740	2	2	3	1	3	2	1	2	3
54587	3754	3935	4384	8336	2373	1885	11158	2423	4084
54998	2264	2041	1320	1598	2133	1899	2889	3552	3380
81669	3021	3144	3058	3105	2285	2215	4399	3591	5495
148413	346	351	240	328	272	275	452	435	466
55052	1346	1171	838	900	1294	1156	1816	2044	1933
107984868	1	2	1	2	0	0	2	1	0
441869	1	1	0	1	0	2	0	0	8
105378585	0	0	0	0	0	0	0	0	1
643965	0	0	0	0	0	0	0	0	0
102724312	0	0	0	0	0	0	1	0	0
107985729	0	0	0	0	0	0	0	0	0
64856	5	4	14	8	2	0	168	6	156
219293	121	120	78	76	102	102	226	148	271
83858	1862	1847	973	1030	1830	1693	1923	1355	2601
55210	2539	2306	1463	1660	2231	2068	2566	1192	2887
339453	25	13	26	35	11	7	54	24	67
29101	2971	2935	2252	2806	3149	2617	3459	3778	4364
643988	350	334	410	410	214	207	971	139	1010
105378586	18	19	20	25	11	8	28	5	35
142678	950	1026	828	1242	771	715	1523	2027	1651
8510	22	25	24	28	19	23	50	39	41
984	1747	1724	1241	1382	1522	1357	2044	1326	2314
728661	1222	1209	1845	2374	945	889	2301	1473	2030
8511	5	3	4	8	2	5	26	22	10
728642	1140	1247	900	1038	952	936	1507	963	1718
9906	1257	1316	1995	2400	985	902	2113	1418	2013
112268218	117	117	116	141	82	79	176	122	157
65220	1565	1471	1176	1377	1303	1174	2917	2123	2764
2782	14239	13864	11800	13407	12985	10475	23460	21615	21885
105378949	6	12	13	18	10	21	18	25	19
163688	5	7	4	4	4	8	13	11	14
339456	2	4	5	3	1	3	9	5	5
85452	0	0	0	0	0	0	1	0	0
107984872	0	0	0	0	0	0	0	0	0
105378589	0	1	0	0	0	1	0	0	0
2563	0	1	0	0	1	0	0	0	1
105378590	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0
5590	75	91	87	110	79	62	158	181	299
100506504	27	31	25	20	21	13	49	48	87
199990	870	888	776	1026	754	712	1244	1441	1258
112268219	113	109	97	95	89	80	207	125	223
105378593	5	9	14	12	5	3	7	8	9
6497	3086	3259	2385	2946	1863	1992	5400	2209	4705
79906	144	161	134	163	116	119	141	137	143
100129534	34	48	34	52	16	23	39	34	28
11079	3402	3295	3273	3747	3712	3016	6436	10611	5386
5192	678	705	614	851	636	572	1014	1178	1014
9651	10	19	7	27	5	6	17	10	49
55229	901	907	793	941	791	708	1142	947	1664
388585	0	0	0	1	0	0	1	0	3
115110	8	4	18	12	8	8	28	22	43
8764	49	32	97	103	48	31	254	185	373
100996583	2	1	1	1	0	0	0	3	1
127281	755	732	556	809	627	565	1071	1084	1597
79258	88	87	66	101	68	70	97	114	170
