,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Timp1.1,0,1.269809965,0.633,0.245,0,1,Timp1
Cthrc1.1,0,0.832032482,0.557,0.197,0,1,Cthrc1
Col1a1.1,0,0.780333952,0.984,0.902,0,1,Col1a1
Col3a1.1,0,0.732080624,0.996,0.966,0,1,Col3a1
Bgn.1,0,0.679965987,0.901,0.6,0,1,Bgn
Lrrc15.1,0,0.627759224,0.311,0.068,0,1,Lrrc15
Col1a2.1,0,0.616805362,0.998,0.964,0,1,Col1a2
Col5a2.1,0,0.593590164,0.901,0.711,0,1,Col5a2
Sparc.1,0,0.575457684,0.996,0.98,0,1,Sparc
Postn.1,2.79E-302,0.704041244,0.853,0.558,4.94E-298,1,Postn
Ptn.1,3.78E-295,0.886758222,0.475,0.17,6.70E-291,1,Ptn
Cxcl5.1,4.69E-281,1.059221801,0.242,0.048,8.30E-277,1,Cxcl5
Adam12.1,2.62E-275,0.457703176,0.313,0.08,4.64E-271,1,Adam12
Serpinh1.1,2.23E-272,0.471438434,0.948,0.842,3.95E-268,1,Serpinh1
Gsn.1,1.32E-260,-0.631067291,0.948,0.96,2.33E-256,1,Gsn
Mif.1,1.71E-260,0.732149246,0.568,0.259,3.03E-256,1,Mif
Lgals3.1,2.04E-257,0.630261487,0.427,0.152,3.61E-253,1,Lgals3
Angptl4.1,2.71E-255,0.616364586,0.457,0.173,4.80E-251,1,Angptl4
Cd44.1,1.13E-254,0.801791331,0.579,0.266,2.00E-250,1,Cd44
Fxyd5.1,3.73E-248,0.650292916,0.484,0.195,6.60E-244,1,Fxyd5
Crabp2.1,1.72E-245,0.573790968,0.188,0.032,3.04E-241,1,Crabp2
Saa3.1,2.92E-233,1.664724585,0.329,0.104,5.18E-229,1,Saa3
Cd63.1,1.67E-227,0.460173707,0.914,0.794,2.96E-223,1,Cd63
Fkbp11.1,8.03E-227,0.50337162,0.398,0.144,1.42E-222,1,Fkbp11
Lox.1,6.60E-223,0.531602395,0.682,0.365,1.17E-218,1,Lox
Aqp1.1,3.81E-212,0.463402904,0.167,0.029,6.75E-208,1,Aqp1
S100a4.1,2.44E-206,0.818670074,0.439,0.186,4.32E-202,1,S100a4
Actn1.1,3.65E-206,0.441065797,0.387,0.142,6.47E-202,1,Actn1
Sh3bgrl3.1,4.38E-199,0.573729465,0.464,0.208,7.75E-195,1,Sh3bgrl3
Slc39a14.1,8.27E-199,0.463018277,0.32,0.106,1.46E-194,1,Slc39a14
Lgals1.1,2.69E-197,0.495971777,0.942,0.874,4.77E-193,1,Lgals1
Fscn1.1,2.50E-196,0.391460505,0.356,0.127,4.43E-192,1,Fscn1
Tnc.1,8.95E-196,0.744007956,0.382,0.149,1.58E-191,1,Tnc
Ckap4.1,9.62E-193,0.542601309,0.623,0.347,1.70E-188,1,Ckap4
Hif1a.1,1.33E-191,0.508905245,0.556,0.275,2.35E-187,1,Hif1a
Emb.1,1.12E-189,0.556717453,0.511,0.238,1.98E-185,1,Emb
Hp.1,3.35E-186,0.956590953,0.242,0.069,5.94E-182,1,Hp
Uck2.1,3.77E-185,0.248477153,0.188,0.042,6.68E-181,1,Uck2
P4ha3.1,1.10E-182,0.322310095,0.249,0.071,1.95E-178,1,P4ha3
Gstm1.1,4.00E-179,-0.766964014,0.356,0.586,7.08E-175,1,Gstm1
Runx1.1,2.90E-178,0.388264618,0.409,0.166,5.13E-174,1,Runx1
Csgalnact1.1,1.65E-177,0.375765362,0.308,0.105,2.92E-173,1,Csgalnact1
Col5a1.1,7.20E-175,0.469662881,0.808,0.594,1.27E-170,1,Col5a1
Sept9.1,3.51E-174,0.269841877,0.231,0.064,6.21E-170,1,9-Sep
Spp1.1,6.16E-173,1.153986244,0.178,0.042,1.09E-168,1,Spp1
Chl1.1,1.51E-172,0.504565107,0.22,0.061,2.67E-168,1,Chl1
Tnn.1,7.61E-172,0.36864505,0.138,0.024,1.35E-167,1,Tnn
Ccn4.1,3.15E-171,0.241181935,0.216,0.057,5.58E-167,1,Ccn4
Cxcl12.1,1.86E-170,0.709933159,0.627,0.366,3.29E-166,1,Cxcl12
Cdh11.1,8.30E-169,0.39437938,0.379,0.15,1.47E-164,1,Cdh11
Pkm.1,4.80E-168,0.523538328,0.584,0.324,8.50E-164,1,Pkm
Tmem176b.1,2.33E-167,0.42269156,0.49,0.229,4.12E-163,1,Tmem176b
Barx2.1,1.82E-166,0.222721719,0.12,0.018,3.21E-162,1,Barx2
Ccl8.1,5.70E-164,0.693711712,0.362,0.149,1.01E-159,1,Ccl8
Pdia5.1,1.28E-163,0.315165429,0.292,0.101,2.27E-159,1,Pdia5
Col18a1.1,3.32E-161,0.45288586,0.37,0.151,5.87E-157,1,Col18a1
Rbp1.1,9.76E-161,0.509508304,0.458,0.215,1.73E-156,1,Rbp1
P4hb.1,2.27E-160,0.421864362,0.806,0.601,4.02E-156,1,P4hb
F2rl1.1,1.35E-159,0.288757956,0.132,0.024,2.39E-155,1,F2rl1
Matn2.1,5.97E-159,0.311470728,0.349,0.135,1.06E-154,1,Matn2
Bcat1.1,2.92E-158,0.226730547,0.161,0.036,5.16E-154,1,Bcat1
Fhl2.1,6.63E-158,0.281542286,0.22,0.063,1.17E-153,1,Fhl2
Acp5.1,7.54E-156,0.343766627,0.216,0.063,1.33E-151,1,Acp5
Nrep.1,1.98E-155,0.553324713,0.443,0.209,3.51E-151,1,Nrep
Slc16a3.1,1.80E-153,0.24975636,0.144,0.03,3.19E-149,1,Slc16a3
Kdelr3.1,4.66E-151,0.376256831,0.443,0.207,8.25E-147,1,Kdelr3
Ier3.1,1.61E-150,0.519342607,0.639,0.383,2.85E-146,1,Ier3
Tpm2.1,3.34E-150,0.139711238,0.373,0.159,5.92E-146,1,Tpm2
Mmp14.1,3.13E-149,0.481788244,0.799,0.56,5.55E-145,1,Mmp14
Sdc1.1,3.19E-149,0.314621642,0.269,0.093,5.64E-145,1,Sdc1
Zbtb20.1,6.75E-149,-0.479082766,0.718,0.815,1.20E-144,1,Zbtb20
C1qtnf6.1,7.86E-149,0.386033002,0.494,0.243,1.39E-144,1,C1qtnf6
Vcam1.1,2.41E-147,0.263345418,0.347,0.138,4.27E-143,1,Vcam1
Ogn.1,7.13E-147,-0.530951175,0.737,0.82,1.26E-142,1,Ogn
Enah.1,5.00E-146,0.336874696,0.34,0.138,8.85E-142,1,Enah
Ppic.1,1.09E-145,0.409197702,0.723,0.467,1.92E-141,1,Ppic
Nxn.1,7.66E-145,0.234293398,0.182,0.048,1.36E-140,1,Nxn
Mmp3.1,9.51E-145,1.055696436,0.499,0.278,1.68E-140,1,Mmp3
Prdx4.1,7.35E-144,0.377100073,0.481,0.237,1.30E-139,1,Prdx4
Ctsb.1,9.62E-143,0.441733764,0.889,0.749,1.70E-138,1,Ctsb
Pcolce2.1,1.53E-142,-0.764582559,0.269,0.496,2.71E-138,1,Pcolce2
Palld.1,2.33E-142,0.342501517,0.531,0.271,4.12E-138,1,Palld
Rcn3.1,2.90E-142,0.411986975,0.79,0.584,5.12E-138,1,Rcn3
Eno1.1,8.14E-141,0.436242162,0.314,0.127,1.44E-136,1,Eno1
Tpm1.1,1.11E-139,0.149667841,0.678,0.431,1.96E-135,1,Tpm1
Ssr2.1,8.33E-139,0.395279692,0.615,0.36,1.47E-134,1,Ssr2
Sfrp1.1,2.90E-138,0.642320889,0.469,0.243,5.13E-134,1,Sfrp1
Fkbp10.1,3.12E-138,0.342428592,0.395,0.179,5.52E-134,1,Fkbp10
Runx2.1,4.83E-138,0.201451955,0.135,0.029,8.56E-134,1,Runx2
Dram1.1,1.40E-137,0.360127046,0.326,0.134,2.47E-133,1,Dram1
Clec3b.1,1.57E-137,-0.565925273,0.674,0.759,2.77E-133,1,Clec3b
Ociad2.1,2.25E-137,0.265500306,0.154,0.037,3.98E-133,1,Ociad2
Tmem176a.1,2.62E-137,0.318749638,0.364,0.155,4.63E-133,1,Tmem176a
Dclk1.1,1.13E-135,0.396214148,0.555,0.302,2.00E-131,1,Dclk1
P4ha2.1,9.53E-135,0.384504523,0.463,0.232,1.69E-130,1,P4ha2
Vmp1.1,2.66E-134,0.347010651,0.462,0.229,4.71E-130,1,Vmp1
Rcn1.1,8.17E-134,0.371480503,0.582,0.332,1.45E-129,1,Rcn1
Col27a1.1,3.40E-133,0.259507528,0.217,0.069,6.01E-129,1,Col27a1
Ctsk.1,3.52E-131,0.586637644,0.697,0.452,6.23E-127,1,Ctsk
Ccdc80.1,9.50E-131,0.348927421,0.843,0.6,1.68E-126,1,Ccdc80
H19.1,3.12E-130,0.648227908,0.448,0.23,5.52E-126,1,H19
Lgmn.1,4.60E-130,0.35082935,0.345,0.15,8.14E-126,1,Lgmn
Brinp3.1,5.15E-130,0.182747774,0.093,0.014,9.12E-126,1,Brinp3
Sec61b.1,6.21E-130,0.428103279,0.68,0.461,1.10E-125,1,Sec61b
Plod2.1,7.50E-129,0.384702107,0.516,0.274,1.33E-124,1,Plod2
Vcan.1,3.19E-128,0.430868666,0.634,0.394,5.65E-124,1,Vcan
Il1rl1.1,5.98E-128,0.468329104,0.161,0.043,1.06E-123,1,Il1rl1
