,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Eln.3,0,1.56310721,0.779,0.418,0,3,Eln
Igfbp3.3,0,1.555125607,0.562,0.148,0,3,Igfbp3
Mfap4.3,0,1.462834777,0.685,0.16,0,3,Mfap4
Cilp.3,0,1.445080309,0.853,0.314,0,3,Cilp
Cpxm2.3,0,1.384803389,0.657,0.153,0,3,Cpxm2
Sfrp2.3,0,1.371163929,0.727,0.29,0,3,Sfrp2
Ccn5.3,0,1.275998226,0.533,0.127,0,3,Ccn5
Lox.3,0,1.2219711,0.87,0.371,0,3,Lox
Gas6.3,0,1.147116993,0.802,0.315,0,3,Gas6
Thbs2.3,0,1.139188537,0.796,0.371,0,3,Thbs2
Sfrp1.3,0,1.110512444,0.676,0.24,0,3,Sfrp1
Fibin.3,0,1.010940777,0.546,0.159,0,3,Fibin
Igf1.3,0,0.997413877,0.929,0.535,0,3,Igf1
Itgbl1.3,0,0.960854913,0.577,0.172,0,3,Itgbl1
Ogn.3,0,0.860288493,0.98,0.79,0,3,Ogn
Serpinf1.3,0,0.790171392,0.974,0.791,0,3,Serpinf1
Fxyd6.3,0,0.775910659,0.606,0.193,0,3,Fxyd6
Fgf9.3,0,0.65109102,0.179,0.012,0,3,Fgf9
Kdr.3,1.76E-302,0.632480278,0.213,0.024,3.12E-298,3,Kdr
Dkk2.3,1.43E-289,1.275853361,0.551,0.196,2.53E-285,3,Dkk2
Piezo2.3,1.92E-279,0.765210477,0.378,0.088,3.40E-275,3,Piezo2
Fbln1.3,1.46E-277,0.891085391,0.742,0.349,2.59E-273,3,Fbln1
C1qtnf3.3,8.73E-273,1.134630713,0.482,0.151,1.54E-268,3,C1qtnf3
Aebp1.3,3.67E-263,0.693935822,0.975,0.787,6.49E-259,3,Aebp1
Angptl1.3,3.21E-262,0.907771059,0.76,0.357,5.68E-258,3,Angptl1
Bgn.3,1.01E-260,0.738036184,0.935,0.62,1.79E-256,3,Bgn
Gpnmb.3,1.74E-258,0.827263478,0.456,0.135,3.08E-254,3,Gpnmb
Fbln2.3,1.50E-240,0.718559175,0.919,0.651,2.66E-236,3,Fbln2
Egfl6.3,2.70E-234,0.58612427,0.19,0.025,4.78E-230,3,Egfl6
Col8a1.3,7.28E-233,1.050299671,0.516,0.19,1.29E-228,3,Col8a1
Gpx3.3,1.94E-231,0.841745112,0.958,0.781,3.43E-227,3,Gpx3
Tgfbi.3,7.32E-209,0.844502424,0.63,0.286,1.30E-204,3,Tgfbi
Ccn2.3,9.77E-206,0.87194575,0.472,0.166,1.73E-201,3,Ccn2
Emb.3,8.20E-204,0.718844368,0.594,0.251,1.45E-199,3,Emb
Apod.3,6.56E-201,0.877324028,0.859,0.583,1.16E-196,3,Apod
Pappa2.3,1.05E-191,0.624971863,0.118,0.011,1.86E-187,3,Pappa2
Stk17b.3,1.35E-186,0.510397918,0.246,0.054,2.39E-182,3,Stk17b
Mgp.3,1.06E-184,0.521582089,0.904,0.596,1.88E-180,3,Mgp
Gpc3.3,1.86E-182,0.950809616,0.67,0.376,3.30E-178,3,Gpc3
Ecrg4.3,3.85E-181,0.605216099,0.344,0.101,6.82E-177,3,Ecrg4
Fgl2.3,4.86E-171,0.806625327,0.638,0.331,8.61E-167,3,Fgl2
Sfrp4.3,7.16E-168,1.059843353,0.69,0.393,1.27E-163,3,Sfrp4
Clu.3,7.99E-167,0.727151366,0.361,0.118,1.41E-162,3,Clu
Tmem176b.3,8.84E-167,0.580528776,0.559,0.243,1.56E-162,3,Tmem176b
Col1a2.3,1.26E-164,0.434563114,1,0.966,2.23E-160,3,Col1a2
Col8a2.3,3.03E-164,0.446868164,0.218,0.047,5.36E-160,3,Col8a2
Pam.3,2.97E-163,0.666622467,0.801,0.516,5.25E-159,3,Pam
Dcn.3,5.09E-162,0.482896702,1,0.942,9.00E-158,3,Dcn
Pdgfrl.3,7.69E-161,0.632670786,0.444,0.172,1.36E-156,3,Pdgfrl
Fbln7.3,1.89E-160,0.820100243,0.464,0.192,3.34E-156,3,Fbln7
Col14a1.3,2.36E-159,0.517401465,0.93,0.677,4.18E-155,3,Col14a1
Efemp1.3,1.20E-158,-1.313113088,0.186,0.5,2.12E-154,3,Efemp1
Cldn10.3,2.44E-158,0.434486921,0.175,0.032,4.31E-154,3,Cldn10
Kng2.3,5.68E-155,0.410972651,0.156,0.026,1.01E-150,3,Kng2
Cdh11.3,9.45E-151,0.652277984,0.416,0.164,1.67E-146,3,Cdh11
Angpt4.3,5.71E-149,0.375909675,0.096,0.009,1.01E-144,3,Angpt4
Gas1.3,7.43E-148,0.598129739,0.761,0.462,1.32E-143,3,Gas1
Dhrs3.3,1.59E-147,0.566297355,0.366,0.132,2.81E-143,3,Dhrs3
Thbs4.3,1.69E-146,0.486527348,0.554,0.265,2.99E-142,3,Thbs4
Aspn.3,8.05E-146,0.769399244,0.81,0.561,1.42E-141,3,Aspn
Hmcn2.3,1.69E-144,0.584076293,0.489,0.207,2.99E-140,3,Hmcn2
Ccl11.3,1.23E-141,-1.274538804,0.127,0.433,2.18E-137,3,Ccl11
Pcsk5.3,3.18E-140,0.678633251,0.446,0.19,5.62E-136,3,Pcsk5
Fbn2.3,9.75E-139,0.58899643,0.275,0.084,1.73E-134,3,Fbn2
Smoc2.3,2.97E-138,0.096103886,0.817,0.456,5.25E-134,3,Smoc2
Itm2a.3,9.81E-138,0.588869018,0.836,0.589,1.74E-133,3,Itm2a
Dkk3.3,6.95E-135,0.566686666,0.339,0.122,1.23E-130,3,Dkk3
Prelp.3,1.22E-131,0.595813071,0.727,0.452,2.17E-127,3,Prelp
Id2.3,1.99E-129,0.620787049,0.468,0.207,3.53E-125,3,Id2
Fmod.3,2.81E-128,0.209971079,0.379,0.149,4.97E-124,3,Fmod
Pmepa1.3,2.23E-125,0.637247443,0.615,0.345,3.95E-121,3,Pmepa1
Cdc42ep3.3,1.88E-124,0.479058382,0.248,0.073,3.34E-120,3,Cdc42ep3
C2.3,2.08E-124,0.519176042,0.393,0.161,3.69E-120,3,C2
Cygb.3,1.98E-120,0.510829125,0.754,0.477,3.50E-116,3,Cygb
Rbp1.3,3.77E-119,0.481072946,0.491,0.23,6.67E-115,3,Rbp1
Phldb2.3,7.00E-115,0.498524763,0.453,0.212,1.24E-110,3,Phldb2
Ccdc80.3,2.04E-114,0.527203149,0.848,0.619,3.61E-110,3,Ccdc80
Podn.3,3.78E-114,0.449700143,0.499,0.236,6.70E-110,3,Podn
Ctla2a.3,7.14E-114,0.831293231,0.092,0.012,1.26E-109,3,Ctla2a
Lrp6.3,1.07E-108,0.507878987,0.476,0.235,1.90E-104,3,Lrp6
Lum.3,1.42E-105,0.410769323,0.94,0.765,2.51E-101,3,Lum
Pla1a.3,3.97E-104,-1.104128086,0.094,0.343,7.02E-100,3,Pla1a
Col1a1.3,2.52E-103,0.401812461,0.987,0.908,4.45E-99,3,Col1a1
Olfml3.3,3.22E-103,0.421314635,0.499,0.251,5.70E-99,3,Olfml3
Cd55.3,2.01E-100,-1.090922437,0.207,0.441,3.56E-96,3,Cd55
Kcnma1.3,2.81E-97,0.339588748,0.136,0.031,4.98E-93,3,Kcnma1
Armh4.3,5.75E-95,0.357524497,0.221,0.072,1.02E-90,3,Armh4
Tmem176a.3,9.93E-95,0.445288717,0.379,0.169,1.76E-90,3,Tmem176a
Cst3.3,3.56E-93,0.289456208,0.938,0.791,6.30E-89,3,Cst3
Tnmd.3,1.60E-92,0.267140668,0.272,0.102,2.84E-88,3,Tnmd
Ism1.3,4.74E-92,0.397938277,0.201,0.063,8.38E-88,3,Ism1
Cnmd.3,8.43E-92,0.311057605,0.058,0.005,1.49E-87,3,Cnmd
Serping1.3,1.97E-91,0.406347424,0.944,0.833,3.48E-87,3,Serping1
Prlr.3,2.01E-91,0.341621176,0.107,0.02,3.55E-87,3,Prlr
Rrad.3,7.93E-91,0.720591317,0.272,0.107,1.40E-86,3,Rrad
Tppp3.3,1.10E-90,-0.768385603,0.449,0.622,1.94E-86,3,Tppp3
Cd248.3,2.39E-89,-0.796243069,0.463,0.612,4.22E-85,3,Cd248
Pamr1.3,3.47E-89,0.456011006,0.597,0.351,6.14E-85,3,Pamr1
Ctsk.3,6.29E-87,0.527207008,0.696,0.471,1.11E-82,3,Ctsk
