,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Fmod.7,0,3.740660154,0.942,0.134,0,7,Fmod
Tnmd.7,0,3.081627222,0.855,0.083,0,7,Tnmd
Kera.7,0,2.943594958,0.621,0.024,0,7,Kera
Chad.7,0,2.854991735,0.455,0.015,0,7,Chad
Thbs4.7,0,2.833944801,0.988,0.259,0,7,Thbs4
Comp.7,0,2.391091471,0.672,0.057,0,7,Comp
Angptl7.7,0,2.237841894,0.357,0.023,0,7,Angptl7
Wif1.7,0,2.149333039,0.273,0.006,0,7,Wif1
Col11a1.7,0,2.06722146,0.648,0.038,0,7,Col11a1
Ecrg4.7,0,2.013976942,0.617,0.1,0,7,Ecrg4
Cilp2.7,0,2.007734829,0.498,0.012,0,7,Cilp2
Col12a1.7,0,1.568062302,0.703,0.205,0,7,Col12a1
Ptx4.7,0,1.224289618,0.289,0.002,0,7,Ptx4
Scx.7,0,1.163217251,0.34,0.012,0,7,Scx
Col11a2.7,0,0.773049305,0.143,0.004,0,7,Col11a2
Mkx.7,0,0.727445752,0.24,0.012,0,7,Mkx
Sema3a.7,0,0.724230359,0.2,0.01,0,7,Sema3a
Zfp185.7,0,0.616541057,0.214,0.013,0,7,Zfp185
Rflnb.7,3.93E-297,1.262735073,0.354,0.046,6.95E-293,7,Rflnb
Gas2.7,3.20E-286,0.651182763,0.185,0.011,5.66E-282,7,Gas2
Mfap4.7,6.03E-282,1.508793204,0.667,0.187,1.07E-277,7,Mfap4
Col8a2.7,1.14E-278,1.03228717,0.355,0.049,2.02E-274,7,Col8a2
Acan.7,4.48E-264,0.540899994,0.13,0.005,7.94E-260,7,Acan
Cpxm2.7,4.20E-261,1.390961057,0.637,0.178,7.43E-257,7,Cpxm2
Uts2r.7,9.42E-261,0.391494354,0.092,0.001,1.67E-256,7,Uts2r
Cilp.7,1.23E-258,1.327632442,0.839,0.341,2.18E-254,7,Cilp
Scube2.7,2.98E-254,0.533965097,0.149,0.007,5.27E-250,7,Scube2
Prg4.7,2.30E-253,2.151338426,0.615,0.182,4.07E-249,7,Prg4
Ccdc3.7,1.33E-237,1.241870072,0.317,0.046,2.36E-233,7,Ccdc3
Col13a1.7,2.27E-237,0.410512272,0.087,0.001,4.02E-233,7,Col13a1
Tnc.7,2.08E-226,1.19013805,0.594,0.168,3.69E-222,7,Tnc
Clec11a.7,1.78E-217,1.048230064,0.492,0.121,3.16E-213,7,Clec11a
Ppfibp2.7,2.39E-216,0.803024349,0.253,0.031,4.23E-212,7,Ppfibp2
Ly6a.7,2.63E-216,-1.468346646,0.511,0.855,4.66E-212,7,Ly6a
Chodl.7,6.51E-210,1.175492851,0.276,0.037,1.15E-205,7,Chodl
Chst5.7,1.18E-209,0.250547857,0.088,0.002,2.08E-205,7,Chst5
Col1a2.7,6.50E-208,0.939525203,0.998,0.968,1.15E-203,7,Col1a2
Kcnma1.7,1.43E-205,0.706751778,0.246,0.031,2.54E-201,7,Kcnma1
Egfl6.7,3.33E-200,0.899187923,0.242,0.031,5.89E-196,7,Egfl6
C1qtnf3.7,1.08E-199,1.790677832,0.539,0.165,1.92E-195,7,C1qtnf3
Nt5e.7,1.05E-192,0.438284423,0.113,0.006,1.86E-188,7,Nt5e
Itgbl1.7,1.26E-190,1.190201463,0.58,0.192,2.24E-186,7,Itgbl1
Dpt.7,3.43E-190,-1.18777014,0.564,0.883,6.08E-186,7,Dpt
Abi3bp.7,1.63E-188,1.341009207,0.86,0.577,2.88E-184,7,Abi3bp
Fibin.7,2.17E-170,1.222195869,0.539,0.179,3.85E-166,7,Fibin
Fhod3.7,4.72E-170,0.403511746,0.108,0.006,8.36E-166,7,Fhod3
S100a5.7,6.13E-168,0.576222672,0.077,0.002,1.08E-163,7,S100a5
Atp6v0a4.7,1.15E-165,0.316964901,0.07,0.002,2.03E-161,7,Atp6v0a4
Ly6c1.7,6.72E-165,-1.546515167,0.376,0.751,1.19E-160,7,Ly6c1
Mgp.7,2.32E-164,1.13351711,0.916,0.61,4.11E-160,7,Mgp
Col1a1.7,3.13E-158,0.9620377,0.99,0.912,5.53E-154,7,Col1a1
Ifi205.7,3.27E-158,-1.731867805,0.16,0.643,5.78E-154,7,Ifi205
Pdgfrl.7,1.16E-157,0.94796028,0.538,0.181,2.04E-153,7,Pdgfrl
Fxyd6.7,1.95E-147,0.97337423,0.575,0.215,3.45E-143,7,Fxyd6
Edil3.7,2.99E-147,0.531449214,0.145,0.015,5.29E-143,7,Edil3
Ecm2.7,8.71E-146,1.113153775,0.68,0.318,1.54E-141,7,Ecm2
Col22a1.7,6.89E-145,0.796051045,0.07,0.002,1.22E-140,7,Col22a1
Sparc.7,1.79E-142,0.732008071,0.998,0.981,3.17E-138,7,Sparc
Prelp.7,6.04E-142,1.491802128,0.737,0.465,1.07E-137,7,Prelp
Cybrd1.7,6.67E-140,0.182053164,0.057,0.001,1.18E-135,7,Cybrd1
Angptl1.7,8.64E-139,1.068014196,0.748,0.377,1.53E-134,7,Angptl1
mt-Cytb.7,4.44E-136,0.698985789,0.971,0.868,7.86E-132,7,mt-Cytb
Serpinf1.7,3.82E-135,0.932954726,0.942,0.802,6.77E-131,7,Serpinf1
Ccn2.7,3.43E-133,1.304819097,0.504,0.18,6.06E-129,7,Ccn2
Clec3b.7,8.41E-131,-1.12964448,0.399,0.761,1.49E-126,7,Clec3b
Cd34.7,2.15E-127,-1.163770974,0.311,0.698,3.80E-123,7,Cd34
Cst3.7,1.61E-126,1.165107989,0.922,0.799,2.84E-122,7,Cst3
Ifi204.7,1.88E-123,-1.336048912,0.113,0.546,3.33E-119,7,Ifi204
Nid1.7,8.17E-123,-1.100405186,0.404,0.739,1.45E-118,7,Nid1
Cd248.7,1.33E-122,-1.371234968,0.227,0.616,2.35E-118,7,Cd248
Insc.7,2.75E-122,0.271129701,0.075,0.004,4.87E-118,7,Insc
Igfbp7.7,3.11E-116,0.686904808,0.929,0.727,5.50E-112,7,Igfbp7
Errfi1.7,4.30E-112,-1.349820246,0.361,0.692,7.62E-108,7,Errfi1
Fbn1.7,1.74E-111,-1.045785968,0.542,0.78,3.07E-107,7,Fbn1
Mstn.7,1.80E-111,0.538369972,0.05,0.001,3.18E-107,7,Mstn
Ifitm3.7,4.10E-111,-0.729383887,0.692,0.874,7.25E-107,7,Ifitm3
Kctd1.7,2.24E-110,0.44752802,0.137,0.017,3.96E-106,7,Kctd1
Efemp1.7,2.60E-109,-1.564134892,0.088,0.49,4.60E-105,7,Efemp1
Olfml3.7,3.52E-108,0.947392894,0.566,0.26,6.23E-104,7,Olfml3
Ugdh.7,1.26E-107,-1.708434953,0.324,0.649,2.22E-103,7,Ugdh
Galr2.7,1.41E-104,0.201918558,0.057,0.002,2.49E-100,7,Galr2
Slfn5.7,1.48E-104,-1.26802563,0.104,0.5,2.62E-100,7,Slfn5
Crispld2.7,3.38E-104,1.010505557,0.516,0.216,5.97E-100,7,Crispld2
Enpp1.7,7.16E-104,0.57130664,0.224,0.047,1.27E-99,7,Enpp1
Dkk3.7,1.57E-103,0.752942671,0.39,0.131,2.78E-99,7,Dkk3
Ddah1.7,1.82E-103,0.721017971,0.246,0.058,3.22E-99,7,Ddah1
Prss23.7,4.17E-102,-1.162921219,0.215,0.585,7.37E-98,7,Prss23
Fam180a.7,1.34E-101,0.428625917,0.091,0.008,2.37E-97,7,Fam180a
Tnfaip6.7,5.53E-100,-1.441792086,0.391,0.678,9.79E-96,7,Tnfaip6
Fgf14.7,5.78E-100,0.602402024,0.158,0.026,1.02E-95,7,Fgf14
C3.7,3.58E-97,-1.266682307,0.6,0.799,6.33E-93,7,C3
C1s1.7,7.47E-96,-0.898626005,0.39,0.705,1.32E-91,7,C1s1
Cxcl1.7,9.15E-96,-1.522468541,0.335,0.637,1.62E-91,7,Cxcl1
Tgfb3.7,2.19E-95,0.688707319,0.393,0.136,3.88E-91,7,Tgfb3
Pamr1.7,1.35E-94,0.948493641,0.634,0.361,2.39E-90,7,Pamr1
Ifi207.7,3.88E-94,-1.220534386,0.089,0.464,6.87E-90,7,Ifi207
Hbegf.7,1.03E-91,0.99480476,0.381,0.134,1.83E-87,7,Hbegf
Bgn.7,1.15E-90,0.591414267,0.872,0.639,2.03E-86,7,Bgn
Shisal2b.7,6.26E-90,0.31840645,0.032,0.001,1.11E-85,7,Shisal2b
Ifi211.7,7.89E-89,-1.104580329,0.114,0.472,1.40E-84,7,Ifi211
Ecm1.7,5.86E-88,-1.020147213,0.323,0.63,1.04E-83,7,Ecm1
Itih5.7,1.17E-87,-0.796059422,0.243,0.623,2.08E-83,7,Itih5
Ccl11.7,1.32E-87,-1.379328892,0.065,0.421,2.34E-83,7,Ccl11
Scara5.7,4.34E-87,-1.23754848,0.083,0.436,7.67E-83,7,Scara5
Ackr3.7,1.81E-86,-1.143051434,0.272,0.591,3.20E-82,7,Ackr3
Itga2.7,2.91E-86,0.714278157,0.226,0.056,5.15E-82,7,Itga2
mt-Nd4.7,6.17E-85,0.662946302,0.881,0.689,1.09E-80,7,mt-Nd4
Dpep1.7,6.86E-85,-1.180832779,0.062,0.411,1.21E-80,7,Dpep1
Gsn.7,6.44E-83,-0.918999687,0.928,0.96,1.14E-78,7,Gsn
Thbs1.7,3.58E-82,0.903395896,0.508,0.232,6.34E-78,7,Thbs1
Mylk.7,4.85E-82,0.576035609,0.296,0.09,8.59E-78,7,Mylk
Col2a1.7,4.04E-81,0.104090594,0.027,0,7.14E-77,7,Col2a1
Strbp.7,7.42E-81,0.521001107,0.214,0.052,1.31E-76,7,Strbp
Lox.7,8.37E-80,0.753079157,0.673,0.405,1.48E-75,7,Lox
Ace.7,1.69E-79,-1.06659046,0.098,0.434,2.99E-75,7,Ace
Adamts5.7,1.30E-78,-0.926938609,0.258,0.585,2.30E-74,7,Adamts5
Fstl1.7,9.18E-78,-0.596785566,0.799,0.905,1.62E-73,7,Fstl1
Pla2g12b.7,2.90E-77,0.08661901,0.022,0,5.13E-73,7,Pla2g12b
Fst.7,7.27E-77,-1.349906231,0.07,0.396,1.29E-72,7,Fst
Cd9.7,6.06E-76,0.630273857,0.776,0.527,1.07E-71,7,Cd9
Ifi203.7,1.73E-75,-1.233009039,0.084,0.41,3.06E-71,7,Ifi203
Tceal3.7,9.00E-75,0.320758624,0.089,0.011,1.59E-70,7,Tceal3
Pi16.7,6.12E-74,-1.580949219,0.422,0.652,1.08E-69,7,Pi16
Has1.7,6.67E-74,-1.229462167,0.235,0.544,1.18E-69,7,Has1
Ogn.7,3.05E-73,0.683426202,0.898,0.803,5.40E-69,7,Ogn
Tdh.7,1.42E-72,0.066116419,0.027,0.001,2.52E-68,7,Tdh
Tmem150c.7,6.41E-72,0.146055013,0.029,0.001,1.13E-67,7,Tmem150c
B2m.7,7.88E-72,-0.522160471,0.834,0.926,1.39E-67,7,B2m
Pdgfa.7,2.19E-71,0.59210601,0.287,0.094,3.88E-67,7,Pdgfa
Zeb2.7,5.28E-71,-0.88494879,0.108,0.429,9.35E-67,7,Zeb2
