,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Prg4.9,0,1.843268252,0.736,0.182,0,9,Prg4
Meox1.9,7.81E-274,1.235992247,0.402,0.053,1.38E-269,9,Meox1
Myoc.9,1.96E-241,1.567927388,0.849,0.318,3.47E-237,9,Myoc
Mgp.9,1.03E-232,1.588335814,0.975,0.612,1.82E-228,9,Mgp
Cst3.9,8.96E-194,1.240283692,0.969,0.799,1.59E-189,9,Cst3
Clu.9,3.06E-178,1.624960772,0.499,0.128,5.42E-174,9,Clu
Klf5.9,3.71E-159,0.691133762,0.179,0.017,6.57E-155,9,Klf5
Meox2.9,3.55E-147,1.063977679,0.461,0.122,6.28E-143,9,Meox2
Ltbp4.9,4.05E-124,0.962128015,0.814,0.464,7.16E-120,9,Ltbp4
Vit.9,1.62E-117,0.755296896,0.235,0.039,2.86E-113,9,Vit
Gsn.9,1.40E-111,0.654181072,0.998,0.957,2.48E-107,9,Gsn
Stmn2.9,8.68E-110,0.477669876,0.084,0.005,1.54E-105,9,Stmn2
Aebp1.9,4.28E-106,-1.186952618,0.514,0.814,7.57E-102,9,Aebp1
Gas1.9,8.37E-105,0.923274799,0.796,0.479,1.48E-100,9,Gas1
Boc.9,4.22E-100,0.811261194,0.302,0.073,7.47E-96,9,Boc
Nbl1.9,7.16E-99,1.02699639,0.813,0.582,1.27E-94,9,Nbl1
Cfh.9,2.39E-95,0.959422638,0.522,0.204,4.23E-91,9,Cfh
Cd9.9,6.51E-95,0.742275889,0.818,0.528,1.15E-90,9,Cd9
Clec1a.9,2.99E-94,0.575130243,0.167,0.025,5.29E-90,9,Clec1a
C3.9,6.78E-92,-1.387469975,0.524,0.8,1.20E-87,9,C3
Lepr.9,4.80E-91,0.590691308,0.146,0.02,8.49E-87,9,Lepr
Fn1.9,5.56E-87,-1.063986976,0.696,0.861,9.84E-83,9,Fn1
Postn.9,9.01E-78,-1.436189423,0.248,0.618,1.59E-73,9,Postn
Tnfaip6.9,1.03E-77,-1.314238324,0.342,0.677,1.82E-73,9,Tnfaip6
Tmem204.9,8.81E-77,0.612092562,0.2,0.041,1.56E-72,9,Tmem204
Smoc2.9,9.60E-76,0.666304567,0.782,0.479,1.70E-71,9,Smoc2
Rpl19-ps3.9,5.49E-73,0.166608752,0.034,0.001,9.71E-69,9,Rpl19-ps3
Sptbn1.9,2.04E-72,0.690042017,0.856,0.745,3.61E-68,9,Sptbn1
Efemp1.9,7.02E-72,-1.403901668,0.117,0.484,1.24E-67,9,Efemp1
Comp.9,2.97E-71,0.868691693,0.279,0.078,5.25E-67,9,Comp
Sparcl1.9,3.93E-71,0.886258613,0.622,0.325,6.96E-67,9,Sparcl1
Apod.9,1.10E-69,0.727209311,0.824,0.601,1.96E-65,9,Apod
Tsc22d3.9,1.49E-69,0.844355487,0.558,0.28,2.63E-65,9,Tsc22d3
