,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Acta1.15,0,5.42247961,0.977,0.056,0,15,Acta1
Mylpf.15,0,5.115432385,0.908,0.032,0,15,Mylpf
Tnnt3.15,0,5.08462831,0.92,0.044,0,15,Tnnt3
Myl1.15,0,4.996699523,0.931,0.025,0,15,Myl1
Tnnc2.15,0,4.775300935,0.908,0.016,0,15,Tnnc2
Ckm.15,0,4.578203323,0.908,0.016,0,15,Ckm
Pvalb.15,0,4.443334149,0.644,0.017,0,15,Pvalb
Tnni2.15,0,4.417193115,0.897,0.02,0,15,Tnni2
Myh4.15,0,4.417128565,0.575,0.011,0,15,Myh4
Neb.15,0,3.674219698,0.69,0.012,0,15,Neb
Ttn.15,0,3.649415848,0.621,0.02,0,15,Ttn
Tcap.15,0,3.362987459,0.759,0.007,0,15,Tcap
Pgam2.15,0,3.326002771,0.782,0.006,0,15,Pgam2
Eno3.15,0,3.280752993,0.805,0.017,0,15,Eno3
Xirp2.15,0,3.119467128,0.575,0.004,0,15,Xirp2
Cox6a2.15,0,3.11159497,0.724,0.004,0,15,Cox6a2
Atp2a1.15,0,2.840953888,0.586,0.003,0,15,Atp2a1
Myh1.15,0,2.816848943,0.368,0.004,0,15,Myh1
Cox8b.15,0,2.811229267,0.644,0.011,0,15,Cox8b
Chchd10.15,0,2.792024442,0.586,0.013,0,15,Chchd10
Hspb6.15,0,2.766769297,0.54,0.008,0,15,Hspb6
Cox7a1.15,0,2.708720468,0.632,0.015,0,15,Cox7a1
Fabp3.15,0,2.677210378,0.506,0.007,0,15,Fabp3
Trdn.15,0,2.626313713,0.483,0.005,0,15,Trdn
Ube2c.15,0,2.621030532,0.609,0.016,0,15,Ube2c
Myoz1.15,0,2.591825142,0.552,0.002,0,15,Myoz1
Actn3.15,0,2.578404083,0.483,0.007,0,15,Actn3
Mb.15,0,2.572905766,0.414,0.001,0,15,Mb
Mybpc2.15,0,2.460520451,0.368,0.001,0,15,Mybpc2
Sh3bgr.15,0,2.391426369,0.529,0.011,0,15,Sh3bgr
Ldb3.15,0,2.275308354,0.506,0.005,0,15,Ldb3
Mybpc1.15,0,2.245576526,0.391,0.005,0,15,Mybpc1
Sln.15,0,2.236014087,0.322,0.002,0,15,Sln
Smpx.15,0,2.224521425,0.517,0.001,0,15,Smpx
Myot.15,0,2.206039165,0.425,0.002,0,15,Myot
Klhl41.15,0,2.178167185,0.437,0.004,0,15,Klhl41
Csrp3.15,0,2.153655306,0.23,0.002,0,15,Csrp3
Apobec2.15,0,2.143183412,0.425,0.002,0,15,Apobec2
Ckmt2.15,0,2.112159867,0.345,0.001,0,15,Ckmt2
Lmod2.15,0,2.048362614,0.345,0.001,0,15,Lmod2
Ankrd23.15,0,2.045693809,0.425,0.007,0,15,Ankrd23
Casq1.15,0,2.035032238,0.31,0.002,0,15,Casq1
Abra.15,0,1.922290457,0.345,0.003,0,15,Abra
Ankrd2.15,0,1.901252503,0.218,0.001,0,15,Ankrd2
Txlnb.15,0,1.900998756,0.368,0.002,0,15,Txlnb
Mylf-ps.15,0,1.896312805,0.333,0,0,15,Mylf-ps
Lmod3.15,0,1.831280522,0.368,0.002,0,15,Lmod3
Nrap.15,0,1.813332543,0.368,0,0,15,Nrap
Ppp1r27.15,0,1.772991948,0.264,0.002,0,15,Ppp1r27
Adssl1.15,0,1.74024014,0.356,0.003,0,15,Adssl1
Jph1.15,0,1.659123323,0.379,0.007,0,15,Jph1
Myoz2.15,0,1.642085179,0.264,0.001,0,15,Myoz2
Cavin4.15,0,1.623373657,0.322,0.004,0,15,Cavin4
A930016O22Rik.15,0,1.597369108,0.299,0,0,15,A930016O22Rik
Actn2.15,0,1.584639802,0.287,0.001,0,15,Actn2
Tmod4.15,0,1.532539823,0.276,0.001,0,15,Tmod4
Smtnl1.15,0,1.486025341,0.23,0,0,15,Smtnl1
Eef1a2.15,0,1.448331676,0.287,0,0,15,Eef1a2
Klhl31.15,0,1.420895122,0.253,0.001,0,15,Klhl31
2310040G24Rik.15,0,1.417169259,0.276,0.002,0,15,2310040G24Rik
Tceal7.15,0,1.214294676,0.138,0,0,15,Tceal7
3425401B19Rik.15,0,1.186650303,0.207,0.001,0,15,3425401B19Rik
Rpl3l.15,0,1.177926492,0.207,0.001,0,15,Rpl3l
Trim63.15,0,1.174069559,0.195,0,0,15,Trim63
2310002L09Rik.15,0,1.165106627,0.172,0,0,15,2310002L09Rik
Itgb1bp2.15,0,1.070678032,0.195,0.001,0,15,Itgb1bp2
Art1.15,0,1.052863522,0.184,0,0,15,Art1
Smyd1.15,0,1.050185619,0.184,0.001,0,15,Smyd1
Hjv.15,0,1.042601628,0.184,0.001,0,15,Hjv
Trim54.15,0,1.012608732,0.138,0,0,15,Trim54
Fsd2.15,0,0.949250578,0.172,0.001,0,15,Fsd2
Lrrc2.15,0,0.821037557,0.149,0,0,15,Lrrc2
Ppp1r3a.15,0,0.801526158,0.149,0,0,15,Ppp1r3a
Capn3.15,0,0.796249552,0.138,0,0,15,Capn3
