,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ADM,0,1.993850832,0.583,0.045,0
BMP2,0,0.856681104,0.295,0.024,0
BMP4,0,0.253746132,0.124,0.004,0
C3,0,1.259343939,0.483,0.017,0
CCL2,0,2.414731202,0.526,0.042,0
CCL26,0,0.369269666,0.114,0.002,0
COL10A1,0,1.953070098,0.508,0.001,0
COL11A1,0,0.895832581,0.311,0.003,0
COL12A1,0,2.26137725,0.8,0.014,0
COL14A1,0,0.687985862,0.18,0.008,0
COL15A1,0,1.455016695,0.538,0.009,0
COL16A1,0,1.119967632,0.618,0.023,0
COL18A1,0,1.343329462,0.548,0.056,0
COL1A1,0,6.096613092,0.97,0.037,0
COL1A2,0,5.555499699,0.987,0.014,0
COL27A1,0,0.526799124,0.365,0.026,0
COL3A1,0,5.832778554,0.964,0.014,0
COL4A1,0,1.807011328,0.71,0.026,0
COL4A2,0,1.730572618,0.738,0.03,0
COL5A1,0,2.248103866,0.786,0.014,0
COL5A2,0,3.05701194,0.909,0.019,0
COL5A3,0,1.280363614,0.565,0.02,0
COL6A1,0,4.464727207,0.986,0.031,0
COL6A2,0,4.50774671,0.987,0.041,0
COL6A3,0,3.59226146,0.92,0.018,0
COL7A1,0,1.843204516,0.643,0.025,0
COL8A1,0,0.716062834,0.327,0.001,0
CSF3,0,1.214168709,0.195,0.003,0
CXCL1,0,3.4256737,0.48,0.019,0
CXCL12,0,2.275476012,0.444,0.005,0
CXCL2,0,2.225530702,0.511,0.049,0
CXCL3,0,2.257773119,0.516,0.041,0
CXCL5,0,1.90902482,0.353,0.006,0
CXCL6,0,2.000617267,0.308,0.002,0
CXCL8,0,2.133653016,0.449,0.064,0
EGFR,0,0.340797156,0.254,0.026,0
FAM3C,0,0.727555219,0.642,0.172,0
FBN1,0,1.410850294,0.696,0.008,0
FGF2,0,0.340305904,0.176,0.003,0
FGF7,0,1.106153392,0.402,0.003,0
FN1,0,3.581370439,0.895,0.022,0
GAS6,0,0.735520876,0.358,0.056,0
HGF,0,0.649207295,0.263,0.002,0
IGF2,0,1.197441489,0.29,0.004,0
IL11,0,2.410921542,0.431,0.007,0
IL1R1,0,0.864587567,0.561,0.068,0
IL24,0,2.881962347,0.431,0.005,0
IL6,0,2.57612663,0.468,0.014,0
INHBA,0,2.302345115,0.702,0.054,0
JAM3,0,0.526782475,0.376,0.021,0
KITLG,0,0.37627989,0.27,0.024,0
LAMC1,0,0.975748984,0.609,0.032,0
MDK,0,0.96226479,0.462,0.051,0
MMP2,0,3.881866403,0.931,0.016,0
NRP1,0,0.94944054,0.561,0.027,0
NRP2,0,0.794126626,0.542,0.078,0
PLAUR,0,0.33808991,0.657,0.149,0
PTHLH,0,0.668134559,0.289,0.017,0
PTN,0,1.049033297,0.383,0.005,0
RARRES2,0,3.165802731,0.74,0.015,0
RSPO3,0,0.436888681,0.144,0.002,0
SAA1,0,0.915548647,0.116,0.005,0
SEMA3C,0,0.402765237,0.28,0.029,0
TGFB3,0,0.364271189,0.238,0.006,0
TIMP1,0,2.459214176,0.962,0.285,0
TNC,0,2.081535235,0.646,0.039,0
TNFRSF11B,0,0.571491747,0.186,0.008,0
WNT2,0,0.608212394,0.263,0,0
WNT5A,0,1.42336686,0.598,0.015,0
PGF,2.83E-291,0.286289537,0.208,0.023,6.50E-287
GRN,2.89E-255,0.734882017,0.744,0.268,6.65E-251
CLCF1,9.26E-250,0.486972071,0.326,0.061,2.13E-245
PSAP,2.48E-215,0.996450935,0.932,0.601,5.69E-211
IL6ST,5.25E-179,0.54414711,0.637,0.229,1.20E-174
DPP4,1.18E-164,0.339523235,0.295,0.068,2.71E-160
IL15RA,2.98E-163,0.279810123,0.293,0.068,6.84E-159
TNFRSF1A,2.30E-162,0.583976345,0.609,0.226,5.27E-158
TNFRSF1B,4.18E-157,-1.595468052,0.063,0.478,9.59E-153
CD6,2.54E-148,-1.592421494,0.003,0.413,5.84E-144
MIF,5.91E-121,0.917132693,0.954,0.888,1.36E-116
TNFRSF18,2.82E-112,-1.834275923,0.039,0.375,6.48E-108
IL7R,9.12E-94,-2.398966042,0.269,0.51,2.09E-89
IL1B,2.76E-89,-0.580074574,0.18,0.045,6.34E-85
B2M,4.93E-88,-0.470784929,1,0.998,1.13E-83
IL16,6.45E-84,-0.917460273,0.055,0.331,1.48E-79
CD8A,7.58E-78,-2.235378052,0.003,0.256,1.74E-73
CCL5,8.26E-78,-2.711887197,0.117,0.369,1.90E-73
NAMPT,3.17E-72,0.429119858,0.732,0.409,7.27E-68
ICOS,4.92E-70,-0.988252965,0,0.232,1.13E-65
SLAMF1,1.99E-57,-0.651531531,0,0.196,4.57E-53
TNFRSF25,2.51E-52,-0.694963017,0.017,0.206,5.76E-48
CD8B,3.95E-50,-1.139486415,0.007,0.184,9.07E-46
TGFB1,3.03E-48,-1.060407427,0.466,0.552,6.96E-44
ADGRE5,9.01E-47,-0.970268247,0.174,0.346,2.07E-42
CCL4,1.08E-43,-2.048564505,0.008,0.166,2.49E-39
TNF,2.06E-43,-0.972984517,0.008,0.167,4.74E-39
SORL1,1.81E-36,-0.430084177,0.003,0.136,4.16E-32
FASLG,2.83E-34,-0.519650455,0.001,0.125,6.50E-30
CD70,1.09E-29,-0.601033274,0.028,0.15,2.49E-25
TNFSF14,1.21E-23,-0.495691851,0.031,0.132,2.78E-19
AREG,2.09E-22,-0.664377843,0.023,0.119,4.81E-18
IL1RN,2.85E-15,-0.307965429,0.129,0.065,6.55E-11
IFNAR2,3.72E-08,-0.441187954,0.295,0.318,0.000854092
CKLF,3.97E-06,-0.406129563,0.174,0.205,0.091186593
CXCL16,0.000805914,-0.313467559,0.242,0.174,1
TGFBR3,0.441632624,-0.25945311,0.154,0.149,1
FAS,0.454762139,-0.400962651,0.326,0.278,1
IL4R,0.59368513,-0.319722759,0.306,0.262,1
