,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COL8A1,0,1.312189619,0.937,0.426,0
MDK,1.57E-261,1.03532946,0.922,0.587,2.25E-257
PTN,6.25E-260,1.446199412,0.839,0.395,8.94E-256
OGN,1.86E-249,1.041967827,0.94,0.721,2.66E-245
COL1A2,2.12E-238,0.854167856,0.999,0.991,3.04E-234
RARRES2,3.23E-226,0.868574207,0.985,0.815,4.62E-222
COL1A1,1.21E-200,0.857156612,1,0.992,1.73E-196
MMP2,1.79E-195,0.819881041,1,0.955,2.55E-191
VEGFB,2.71E-193,0.830111305,0.967,0.895,3.88E-189
INHBA,7.22E-190,0.841650085,0.731,0.328,1.03E-185
COL10A1,4.68E-168,0.57554826,0.529,0.174,6.69E-164
FBN1,2.32E-156,-1.699572442,0.972,0.947,3.31E-152
COL14A1,1.19E-150,0.704897164,0.986,0.891,1.70E-146
PLA2G2A,2.51E-146,-2.508155655,0.515,0.751,3.59E-142
CD55,1.07E-144,-1.582437061,0.649,0.807,1.53E-140
GAS6,4.57E-137,0.652348392,0.873,0.573,6.53E-133
COL12A1,8.69E-131,0.623360152,0.952,0.762,1.24E-126
COL11A1,1.61E-130,0.267082543,0.679,0.289,2.30E-126
COL5A2,1.95E-129,0.530878759,0.994,0.917,2.79E-125
COL3A1,5.50E-128,0.634558361,1,0.989,7.87E-124
IGF1,3.01E-124,0.992585069,0.893,0.669,4.31E-120
B2M,5.94E-124,-0.475463398,1,1,8.50E-120
OMD,1.50E-122,0.643486321,0.865,0.641,2.15E-118
TIMP1,1.32E-110,-0.825349333,0.992,0.985,1.89E-106
LEPR,4.80E-106,-1.005708999,0.305,0.577,6.86E-102
BMP7,9.20E-104,-0.439699255,0.023,0.291,1.32E-99
CSF1,3.24E-95,-0.546492358,0.396,0.666,4.64E-91
NRG1,1.17E-86,0.305524132,0.232,0.063,1.67E-82
FGF18,5.18E-83,0.701067336,0.485,0.253,7.41E-79
COL4A2,1.16E-82,-0.755734218,0.126,0.383,1.65E-78
COL16A1,2.20E-80,0.487508637,0.725,0.487,3.15E-76
WNT4,1.72E-78,-0.422597595,0.002,0.205,2.46E-74
COL4A1,2.28E-78,-0.759615488,0.08,0.321,3.26E-74
TGFB3,1.95E-72,0.42581645,0.644,0.433,2.79E-68
VEGFA,6.79E-70,-0.474573238,0.344,0.59,9.71E-66
F10,3.31E-64,-0.288888343,0.014,0.194,4.73E-60
IL6ST,9.10E-54,-0.494311575,0.871,0.91,1.30E-49
WNT2,6.59E-47,-0.365135806,0.257,0.459,9.43E-43
COL6A3,9.27E-46,0.266286328,0.998,0.958,1.33E-41
GRN,4.07E-45,-0.346924298,0.841,0.893,5.82E-41
PGF,3.01E-42,-0.301427153,0.061,0.212,4.31E-38
GDF15,5.41E-39,0.278489599,0.246,0.116,7.73E-35
TGFBR3,8.00E-38,-0.604324599,0.716,0.773,1.14E-33
PENK,5.38E-35,-0.810736207,0.026,0.143,7.69E-31
FGF7,1.77E-33,0.327599058,0.831,0.717,2.53E-29
PTHLH,1.39E-30,-0.326061204,0.357,0.519,1.98E-26
FAM3C,7.02E-30,0.262383455,0.843,0.771,1.00E-25
NAMPT,7.96E-30,-0.399394069,0.476,0.612,1.14E-25
NRP1,1.29E-17,-0.324175744,0.439,0.54,1.84E-13
FN1,2.65E-08,-0.379550941,0.997,0.977,0.000379546
CXCL8,6.72E-06,-0.257445212,0.161,0.213,0.096107603
COL18A1,4.19E-05,-0.282129196,0.454,0.496,0.598995316
COL15A1,0.001468377,-0.27535153,0.252,0.28,1
CCL2,0.002228172,-0.311303498,0.388,0.426,1
SEMA3C,0.022530113,-0.444983758,0.904,0.802,1
SPP1,0.074571626,-0.67745738,0.595,0.633,1
