,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CLCF1,0,0.861955055,0.458,0.046,0
COL17A1,0,0.484816999,0.256,0.013,0
COL1A1,0,2.04327899,0.885,0.058,0
COL4A3,0,0.696739005,0.41,0.022,0
COL4A4,0,0.899491336,0.511,0.026,0
COL5A1,0,0.431479783,0.309,0.024,0
COL7A1,0,0.493515852,0.266,0.009,0
EDN2,0,0.920949407,0.266,0.011,0
GDF15,0,3.487442865,0.94,0.177,0
IGFL2,0,0.566550624,0.148,0.003,0
MDK,0,2.535756325,0.903,0.183,0
NRG1,0,1.024666615,0.478,0.025,0
PDGFA,0,0.737649907,0.505,0.055,0
PTHLH,0,0.970243532,0.196,0.011,0
TGFB2,0,0.560007076,0.367,0.026,0
TNC,0,1.802079747,0.668,0.04,0
WNT7A,0,0.542453462,0.32,0.003,0
LIF,3.02E-299,0.623252627,0.262,0.02,7.97E-295
COL18A1,6.99E-283,0.69350497,0.532,0.08,1.84E-278
COL27A1,6.10E-257,0.324165783,0.235,0.019,1.61E-252
DDR1,1.88E-250,0.950225653,0.718,0.165,4.95E-246
ERBB3,2.75E-239,0.774211547,0.627,0.129,7.26E-235
KDR,2.06E-232,0.766263124,0.344,0.043,5.43E-228
COL6A2,7.62E-207,0.59845001,0.437,0.069,2.01E-202
BMP4,3.50E-194,0.424775185,0.276,0.033,9.22E-190
COL6A1,1.50E-192,0.407310307,0.456,0.079,3.96E-188
TNFSF15,2.24E-188,0.361356068,0.219,0.022,5.92E-184
GAS6,4.06E-181,1.321727732,0.695,0.213,1.07E-176
PLXNB1,1.19E-172,0.576939773,0.528,0.116,3.15E-168
CXADR,1.91E-169,0.715021207,0.577,0.144,5.03E-165
WNT7B,2.79E-166,0.431613325,0.328,0.051,7.35E-162
COL4A2,5.73E-151,0.546418065,0.427,0.084,1.51E-146
FN1,1.72E-133,0.836418552,0.856,0.315,4.54E-129
LAMA3,1.16E-132,0.326334901,0.254,0.038,3.05E-128
COL12A1,1.26E-122,0.269041475,0.216,0.03,3.32E-118
DAG1,9.01E-122,0.487214618,0.447,0.112,2.38E-117
CX3CL1,3.09E-120,0.336762078,0.344,0.069,8.15E-116
SEMA3C,1.08E-111,0.637584089,0.524,0.161,2.85E-107
TNFSF9,2.47E-105,0.378998803,0.287,0.056,6.51E-101
EFNA4,5.10E-105,0.272037773,0.241,0.042,1.35E-100
EFNA1,2.60E-101,0.641872055,0.561,0.183,6.87E-97
LAMC1,9.69E-96,0.364742402,0.338,0.08,2.55E-91
FAS,2.94E-93,0.506622435,0.421,0.121,7.76E-89
MIF,1.66E-92,0.834014894,0.979,0.938,4.37E-88
CXCL17,3.08E-87,0.472383896,0.693,0.253,8.14E-83
B2M,1.09E-80,-1.099319734,1,1,2.87E-76
BMP2,4.96E-78,0.323507688,0.241,0.051,1.31E-73
FAM3C,2.92E-74,0.582710122,0.536,0.217,7.69E-70
FAM3B,1.38E-71,0.361528375,0.34,0.098,3.65E-67
PDGFC,2.58E-68,0.342849909,0.295,0.081,6.82E-64
CXCL1,2.80E-68,1.005672789,0.295,0.08,7.37E-64
IFNAR2,2.21E-66,0.465221703,0.52,0.208,5.82E-62
CD55,7.93E-58,0.787033503,0.86,0.603,2.09E-53
AREG,4.73E-50,0.690065887,0.66,0.34,1.25E-45
TNFSF10,4.21E-48,0.537627239,0.553,0.268,1.11E-43
CXCL2,2.40E-47,0.775042714,0.623,0.318,6.34E-43
PILRA,8.71E-38,-0.61197631,0.002,0.262,2.30E-33
TNFSF13,4.40E-36,-0.759880958,0.052,0.313,1.16E-31
TREM2,4.09E-33,-0.817844749,0.002,0.236,1.08E-28
CXCL8,5.30E-29,0.616321239,0.367,0.179,1.40E-24
IL7R,8.05E-28,-0.990699083,0.014,0.22,2.12E-23
TNFSF13B,7.32E-27,-0.442831591,0.01,0.209,1.93E-22
TNFRSF1B,2.93E-26,-0.511820418,0.014,0.211,7.72E-22
CCL18,6.08E-26,-2.408958128,0.025,0.222,1.60E-21
RETN,1.17E-25,-1.078782885,0.012,0.205,3.09E-21
IL6ST,2.20E-25,0.276364824,0.6,0.358,5.82E-21
CCL2,8.39E-25,0.440969949,0.291,0.131,2.21E-20
TNFRSF1A,7.04E-21,0.260567519,0.575,0.367,1.86E-16
IL1B,2.56E-19,-0.952736925,0.01,0.16,6.74E-15
GRN,1.17E-18,-1.295026834,0.687,0.698,3.08E-14
CCL3,2.22E-18,-1.137496208,0.012,0.156,5.86E-14
CCL4,4.93E-18,-1.847966305,0.016,0.16,1.30E-13
CSF2RA,9.21E-18,-0.273884678,0.008,0.146,2.43E-13
LILRB1,2.81E-17,-0.269098783,0,0.129,7.41E-13
INHBA,4.15E-16,-0.62929181,0.019,0.149,1.10E-11
NAMPT,5.02E-16,-0.750712248,0.33,0.468,1.32E-11
ANXA1,1.23E-15,-0.582834979,0.889,0.897,3.24E-11
ADGRE5,2.82E-14,-0.470078972,0.287,0.431,7.43E-10
IL1RN,6.48E-09,-0.690784066,0.062,0.153,0.000171011
TFRC,2.73E-06,-0.538266389,0.26,0.326,0.071916405
EREG,6.78E-06,-0.533058144,0.072,0.139,0.17893996
TNF,9.12E-06,-0.305311822,0.047,0.109,0.240566708
CXCL3,1.37E-05,-0.976300424,0.202,0.274,0.361754124
LGALS9,0.000119813,-0.266618455,0.309,0.359,1
TIMP1,0.003738803,-1.299180486,0.744,0.686,1
CXCL16,0.246058033,-0.402343866,0.518,0.44,1
PLAUR,0.266770644,-0.406912892,0.458,0.43,1
SCGB3A1,0.356982317,-2.367979276,0.575,0.501,1
PSAP,0.38389643,-0.550086499,0.967,0.901,1
