,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ANGPT1,0,1.1627548,0.477,0.01,0
BMP5,0,0.902704811,0.384,0.002,0
CCL11,0,1.455455471,0.183,0.001,0
CCL2,0,2.666970573,0.612,0.124,0
COL10A1,0,0.472850239,0.145,0.001,0
COL12A1,0,1.107923227,0.267,0.027,0
COL14A1,0,1.817683498,0.601,0.022,0
COL15A1,0,0.763678114,0.384,0.025,0
COL16A1,0,0.776960342,0.411,0.038,0
COL18A1,0,0.799930755,0.452,0.076,0
COL1A1,0,4.383751398,0.893,0.049,0
COL1A2,0,4.321531875,0.968,0.036,0
COL3A1,0,4.395113313,0.902,0.03,0
COL4A1,0,1.042176945,0.499,0.068,0
COL4A2,0,0.987863665,0.532,0.079,0
COL5A1,0,1.50400534,0.589,0.016,0
COL5A2,0,1.959662598,0.712,0.023,0
COL6A1,0,2.73169195,0.877,0.068,0
COL6A2,0,2.917004433,0.922,0.058,0
COL6A3,0,3.320683862,0.877,0.023,0
COL6A5,0,0.282520764,0.105,0,0
COL6A6,0,0.301277461,0.149,0.003,0
COL8A1,0,2.175539714,0.701,0.055,0
CXCL12,0,0.966777803,0.506,0.051,0
EPHA3,0,0.399582679,0.172,0.002,0
F10,0,0.297417534,0.192,0.01,0
FBN1,0,1.3757427,0.665,0.038,0
FGF7,0,1.342152643,0.56,0.024,0
FGFR4,0,0.727563653,0.306,0.003,0
FN1,0,2.567195593,0.961,0.307,0
GDF10,0,0.580321655,0.232,0.002,0
HGF,0,0.797537034,0.367,0.025,0
IGF1,0,1.172409177,0.427,0.031,0
IL1R1,0,0.838793864,0.468,0.143,0
LAMC1,0,0.66878321,0.446,0.075,0
MDK,0,1.070411196,0.607,0.18,0
MMP2,0,3.009830124,0.895,0.04,0
OGN,0,1.213213807,0.439,0.017,0
OMD,0,0.364251374,0.176,0.008,0
RARRES2,0,3.006557303,0.924,0.092,0
TGFB3,0,0.274593116,0.165,0.013,0
TIMP1,0,2.453555742,0.989,0.681,0
TNC,0,1.475418122,0.365,0.038,0
WNT2,0,0.625422913,0.264,0.004,0
PTN,3.73E-304,0.304835711,0.151,0.02,9.83E-300
IL6ST,1.72E-288,0.902219067,0.698,0.354,4.53E-284
C3,1.09E-276,0.915138925,0.502,0.178,2.87E-272
TGFBR3,6.10E-218,0.404872318,0.322,0.094,1.61E-213
B2M,9.59E-210,-0.958967997,0.999,1,2.53E-205
IL15RA,1.90E-198,0.311666726,0.241,0.062,5.01E-194
KITLG,5.69E-186,0.381334457,0.272,0.08,1.50E-181
ADGRE5,2.48E-184,-0.815225833,0.078,0.436,6.54E-180
FAS,4.27E-182,0.401631624,0.343,0.119,1.13E-177
CXCL16,1.55E-166,-1.052274784,0.124,0.445,4.09E-162
ALCAM,5.32E-166,-0.763801862,0.089,0.428,1.40E-161
LGALS9,1.83E-135,-0.639812275,0.072,0.363,4.84E-131
GAS6,5.86E-133,0.54045602,0.439,0.212,1.54E-128
LEPR,1.60E-130,0.481193493,0.192,0.056,4.23E-126
PILRA,7.71E-126,-0.605158535,0.006,0.265,2.03E-121
CD55,5.99E-125,-0.870314562,0.335,0.608,1.58E-120
NRP1,8.51E-121,0.405459122,0.355,0.154,2.24E-116
SEMA3C,2.75E-114,0.46986931,0.353,0.16,7.26E-110
IL18,2.91E-113,-0.449118251,0.015,0.257,7.68E-109
AREG,1.06E-109,-1.787891367,0.089,0.345,2.79E-105
TREM2,9.59E-109,-0.816236669,0.008,0.238,2.53E-104
TFRC,2.77E-104,-0.820187444,0.087,0.329,7.29E-100
TNFSF13,3.76E-103,-0.699924089,0.077,0.315,9.93E-99
RETN,2.20E-93,-1.108625254,0.005,0.207,5.80E-89
IL7R,5.56E-83,-0.927180914,0.027,0.222,1.47E-78
CCL18,1.05E-79,-2.354019074,0.036,0.224,2.76E-75
CXCL17,1.18E-77,-1.227696729,0.067,0.258,3.10E-73
CKLF,1.71E-75,-0.446235507,0.122,0.331,4.50E-71
CSF3R,7.84E-74,-0.411378701,0.009,0.178,2.07E-69
CXCL3,2.22E-73,-1.138001442,0.083,0.276,5.87E-69
FAM3C,4.62E-71,0.31374182,0.382,0.216,1.22E-66
HBEGF,1.39E-69,-0.581607015,0.074,0.26,3.67E-65
TNFRSF1A,1.95E-67,0.376823348,0.534,0.365,5.15E-63
CSF2RA,2.37E-64,-0.285187373,0.002,0.148,6.25E-60
GRN,2.58E-64,-1.316288713,0.699,0.698,6.82E-60
CCL4,4.29E-64,-1.871175052,0.011,0.161,1.13E-59
IL1B,3.01E-62,-0.953764026,0.013,0.161,7.93E-58
CCL3,7.54E-62,-1.143795783,0.012,0.158,1.99E-57
CXADR,2.39E-58,-0.251605055,0.009,0.148,6.31E-54
IL1RN,9.07E-58,-0.772944351,0.015,0.155,2.39E-53
IL6,5.24E-55,1.000264841,0.123,0.045,1.38E-50
EREG,1.85E-54,-0.687347553,0.01,0.141,4.88E-50
LILRB1,2.36E-54,-0.262412782,0.004,0.13,6.23E-50
DDR1,1.13E-51,-0.287124227,0.033,0.17,2.97E-47
EFNA1,3.04E-51,-0.365464831,0.046,0.187,8.03E-47
CXCL2,8.69E-48,-0.3600393,0.15,0.322,2.29E-43
GDF15,3.78E-47,-0.691886482,0.048,0.183,9.97E-43
TNFRSF1B,3.51E-46,-0.403193928,0.074,0.212,9.26E-42
TNF,1.03E-44,-0.402371695,0.004,0.111,2.70E-40
CXCL8,1.78E-42,-0.361334312,0.053,0.182,4.70E-38
PLAUR,6.58E-38,-0.769666204,0.31,0.432,1.74E-33
TNFSF10,1.69E-29,-0.45064862,0.153,0.271,4.46E-25
MIF,5.12E-29,0.255573947,0.954,0.938,1.35E-24
ADM,3.09E-25,0.395004084,0.197,0.119,8.16E-21
SCGB3A1,0.025736063,-3.688010323,0.553,0.501,1
PSAP,0.516351134,-0.521716222,0.961,0.9,1
