"Gene"	"CDKN1A-high"	"CDKN2A-high"	"Double-high"
"GDF15"	"Present"	"Absent"	"Present"
"MMP14"	"Absent"	"Present"	"Present"
"MMP2"	"Absent"	"Present"	"Present"
"PGF"	"Absent"	"Absent"	"Present"
"FAS"	"Present"	"Absent"	"Present"
"IGFBP5"	"Absent"	"Absent"	"Present"
"SERPINE2"	"Absent"	"Absent"	"Present"
"CTSB"	"Absent"	"Absent"	"Present"
"PLAT"	"Absent"	"Absent"	"Present"
"TIMP2"	"Absent"	"Absent"	"Present"
"DKK1"	"Present"	"Absent"	"Absent"
"VEGFC"	"Present"	"Absent"	"Absent"
"NRG1"	"Present"	"Absent"	"Absent"
"IGFBP2"	"Absent"	"Present"	"Absent"
