"Gene"	"CDKN1A-high"	"CDKN2A-high"	"Double-high"
"CDKN2A"	"Absent"	"Present"	"Present"
"CDKN2B"	"Absent"	"Absent"	"Present"
"CDKN1A"	"Present"	"Absent"	"Present"
"GDF15"	"Present"	"Absent"	"Present"
"SUGCT"	"Present"	"Absent"	"Present"
"MFAP5"	"Absent"	"Present"	"Present"
"TGFBI"	"Absent"	"Absent"	"Present"
"BTG2"	"Absent"	"Absent"	"Present"
"MMP14"	"Absent"	"Present"	"Present"
"NUPR1"	"Present"	"Absent"	"Present"
"FBLN2"	"Absent"	"Absent"	"Present"
"ISLR"	"Absent"	"Absent"	"Present"
"PTGFRN"	"Absent"	"Present"	"Present"
"SESN3"	"Absent"	"Absent"	"Present"
"IGF2"	"Absent"	"Present"	"Present"
"ORAI3"	"Absent"	"Absent"	"Present"
"MMP2"	"Absent"	"Present"	"Present"
"FBN2"	"Absent"	"Present"	"Present"
"ZMAT3"	"Absent"	"Absent"	"Present"
"CARD16"	"Absent"	"Present"	"Present"
"COL5A1"	"Absent"	"Absent"	"Present"
"ZNF503"	"Absent"	"Absent"	"Present"
"SULF2"	"Absent"	"Present"	"Present"
"GSN"	"Absent"	"Absent"	"Present"
"MDM2"	"Present"	"Absent"	"Present"
"SULF1"	"Absent"	"Present"	"Present"
"SPON2"	"Absent"	"Present"	"Present"
"NEDD9"	"Absent"	"Present"	"Present"
"CDH11"	"Absent"	"Present"	"Present"
"ITGAV"	"Absent"	"Present"	"Present"
"WLS"	"Absent"	"Absent"	"Present"
"SVIL"	"Absent"	"Absent"	"Present"
"PLXNB2"	"Absent"	"Absent"	"Present"
"WNT5A"	"Absent"	"Absent"	"Present"
"COL18A1"	"Absent"	"Present"	"Present"
"MFAP4"	"Absent"	"Present"	"Present"
"PGF"	"Absent"	"Absent"	"Present"
"FAS"	"Present"	"Absent"	"Present"
"THSD4"	"Absent"	"Absent"	"Present"
"BMP1"	"Absent"	"Absent"	"Present"
"TNFRSF21"	"Absent"	"Present"	"Present"
"TIMP1"	"Absent"	"Present"	"Present"
"FCGRT"	"Absent"	"Absent"	"Present"
"HSPG2"	"Absent"	"Absent"	"Present"
"PLK2"	"Absent"	"Present"	"Present"
"SERPINF1"	"Absent"	"Absent"	"Present"
"ANKRA2"	"Absent"	"Absent"	"Present"
"IGFBP5"	"Absent"	"Absent"	"Present"
"SERPINE2"	"Absent"	"Absent"	"Present"
"PLK3"	"Present"	"Absent"	"Present"
"PDZRN3"	"Absent"	"Absent"	"Present"
"PALLD"	"Absent"	"Present"	"Present"
"LTBP2"	"Absent"	"Absent"	"Present"
"STAT2"	"Absent"	"Absent"	"Present"
"MRC2"	"Absent"	"Absent"	"Present"
"TNFRSF10B"	"Absent"	"Absent"	"Present"
"NUAK1"	"Absent"	"Present"	"Present"
"SEMA5A"	"Absent"	"Absent"	"Present"
"PLCD3"	"Absent"	"Absent"	"Present"
"COL3A1"	"Absent"	"Absent"	"Present"
"CTSB"	"Absent"	"Absent"	"Present"
"TSPAN9"	"Absent"	"Absent"	"Present"
"COL7A1"	"Absent"	"Absent"	"Present"
"LRP1"	"Absent"	"Absent"	"Present"
"ARSJ"	"Absent"	"Absent"	"Present"
"LUM"	"Absent"	"Absent"	"Present"
"LAMB2"	"Absent"	"Absent"	"Present"
"TANC1"	"Absent"	"Absent"	"Present"
"PNRC1"	"Absent"	"Absent"	"Present"
"JUNB"	"Absent"	"Absent"	"Present"
"TOB1"	"Absent"	"Absent"	"Present"
"PLPP3"	"Absent"	"Absent"	"Present"
"CHPF2"	"Absent"	"Absent"	"Present"
"KIFAP3"	"Absent"	"Absent"	"Present"
"LAMC1"	"Absent"	"Present"	"Present"
"HBP1"	"Absent"	"Absent"	"Present"
"PLAT"	"Absent"	"Absent"	"Present"
"FKBP10"	"Absent"	"Absent"	"Present"
"ANXA4"	"Absent"	"Absent"	"Present"
"IDS"	"Absent"	"Absent"	"Present"
"ZBTB20"	"Absent"	"Absent"	"Present"
"GRN"	"Absent"	"Absent"	"Present"
"NT5E"	"Absent"	"Absent"	"Present"
"YPEL5"	"Absent"	"Absent"	"Present"
"COX7A1"	"Absent"	"Absent"	"Present"
"PMEPA1"	"Absent"	"Present"	"Present"
"MXD4"	"Absent"	"Absent"	"Present"
"SH3PXD2A"	"Absent"	"Absent"	"Present"
"MAP1LC3A"	"Absent"	"Absent"	"Present"
"LAMB1"	"Absent"	"Absent"	"Present"
"CALHM2"	"Absent"	"Absent"	"Present"
"NID1"	"Absent"	"Absent"	"Present"
"RUNX1"	"Absent"	"Absent"	"Present"
"TMEM30A"	"Absent"	"Absent"	"Present"
"ZNF524"	"Absent"	"Absent"	"Present"
"UBTD1"	"Absent"	"Absent"	"Present"
"PDGFRB"	"Absent"	"Absent"	"Present"
"TIMP2"	"Absent"	"Absent"	"Present"
"ZFP36L1"	"Absent"	"Absent"	"Present"
"CRYAB"	"Present"	"Absent"	"Absent"
"DUSP1"	"Present"	"Absent"	"Absent"
"MYLK"	"Present"	"Absent"	"Absent"
"MAP1A"	"Present"	"Absent"	"Absent"
"CCBE1"	"Present"	"Absent"	"Absent"
"COPZ2"	"Present"	"Absent"	"Absent"
"GAS6"	"Present"	"Absent"	"Absent"
"CD248"	"Present"	"Absent"	"Absent"
"LAYN"	"Present"	"Absent"	"Absent"
"DRAM1"	"Present"	"Absent"	"Absent"
"CYBRD1"	"Present"	"Absent"	"Absent"
"NIPAL3"	"Present"	"Absent"	"Absent"
"SLFN5"	"Present"	"Absent"	"Absent"
"CEBPB"	"Present"	"Absent"	"Absent"
"CAV1"	"Present"	"Absent"	"Absent"
"VEGFC"	"Present"	"Absent"	"Absent"
"CAMK2N1"	"Present"	"Absent"	"Absent"
"TRADD"	"Present"	"Absent"	"Absent"
"OXTR"	"Present"	"Absent"	"Absent"
"DKK3"	"Present"	"Absent"	"Absent"
"SHISA4"	"Present"	"Absent"	"Absent"
"SYNE1"	"Present"	"Absent"	"Absent"
"MICA"	"Present"	"Absent"	"Absent"
"EPS8"	"Present"	"Absent"	"Absent"
"THBS1"	"Present"	"Absent"	"Absent"
"CEBPD"	"Present"	"Absent"	"Absent"
"SERINC2"	"Present"	"Absent"	"Absent"
"LMO7"	"Present"	"Absent"	"Absent"
"NEK7"	"Present"	"Absent"	"Absent"
"BDNF"	"Present"	"Absent"	"Absent"
"NRG1"	"Present"	"Absent"	"Absent"
"DSEL"	"Present"	"Absent"	"Absent"
"EHD2"	"Present"	"Absent"	"Absent"
"JOSD2"	"Present"	"Absent"	"Absent"
"TSPO"	"Present"	"Absent"	"Absent"
"CLEC11A"	"Present"	"Absent"	"Absent"
"PLPPR2"	"Present"	"Absent"	"Absent"
"DAB2"	"Present"	"Absent"	"Absent"
"COMT"	"Present"	"Absent"	"Absent"
"ELL2"	"Present"	"Absent"	"Absent"
"TTC3"	"Present"	"Absent"	"Absent"
"LOXL1"	"Present"	"Absent"	"Absent"
"CREB3L1"	"Present"	"Absent"	"Absent"
"LOX"	"Present"	"Absent"	"Absent"
"NABP1"	"Present"	"Absent"	"Absent"
"CITED2"	"Present"	"Absent"	"Absent"
"CAV2"	"Present"	"Absent"	"Absent"
"ID2"	"Present"	"Absent"	"Absent"
"LIMA1"	"Present"	"Absent"	"Absent"
"PAPSS2"	"Present"	"Absent"	"Absent"
"GADD45A"	"Present"	"Absent"	"Absent"
"FILIP1L"	"Present"	"Absent"	"Absent"
"LIMS2"	"Present"	"Absent"	"Absent"
"NPDC1"	"Present"	"Absent"	"Absent"
"HPCAL1"	"Present"	"Absent"	"Absent"
"GPC1"	"Present"	"Absent"	"Absent"
"NENF"	"Present"	"Absent"	"Absent"
"AK1"	"Present"	"Absent"	"Absent"
"SYNGR1"	"Present"	"Absent"	"Absent"
"VASN"	"Present"	"Absent"	"Absent"
"FLNC"	"Present"	"Absent"	"Absent"
"COL1A2"	"Present"	"Absent"	"Absent"
"ISG15"	"Present"	"Absent"	"Absent"
"PHLDA3"	"Present"	"Absent"	"Absent"
"AEBP1"	"Present"	"Absent"	"Absent"
"CERCAM"	"Present"	"Absent"	"Absent"
"MSRB3"	"Present"	"Absent"	"Absent"
"CKAP4"	"Present"	"Absent"	"Absent"
"SLC10A3"	"Present"	"Absent"	"Absent"
"CRIM1"	"Present"	"Absent"	"Absent"
"POPDC3"	"Present"	"Absent"	"Absent"
"ZDHHC2"	"Present"	"Absent"	"Absent"
"CTHRC1"	"Present"	"Absent"	"Absent"
"RARRES2"	"Absent"	"Present"	"Absent"
"STRA6"	"Absent"	"Present"	"Absent"
"MDFI"	"Absent"	"Present"	"Absent"
"BMP4"	"Absent"	"Present"	"Absent"
"SPRY1"	"Absent"	"Present"	"Absent"
"NID2"	"Absent"	"Present"	"Absent"
"PMP22"	"Absent"	"Present"	"Absent"
"ANKH"	"Absent"	"Present"	"Absent"
"CHST2"	"Absent"	"Present"	"Absent"
"ARL4C"	"Absent"	"Present"	"Absent"
"ANXA3"	"Absent"	"Present"	"Absent"
"TPD52L1"	"Absent"	"Present"	"Absent"
"GYPC"	"Absent"	"Present"	"Absent"
"ARHGDIB"	"Absent"	"Present"	"Absent"
"PIR"	"Absent"	"Present"	"Absent"
"OLFML3"	"Absent"	"Present"	"Absent"
"PPP1R14A"	"Absent"	"Present"	"Absent"
"F3"	"Absent"	"Present"	"Absent"
"FLRT2"	"Absent"	"Present"	"Absent"
"TRIB2"	"Absent"	"Present"	"Absent"
"PHC2"	"Absent"	"Present"	"Absent"
"SLC12A2"	"Absent"	"Present"	"Absent"
"CCDC80"	"Absent"	"Present"	"Absent"
"CYP1B1"	"Absent"	"Present"	"Absent"
"IGFBP2"	"Absent"	"Present"	"Absent"
"PYGB"	"Absent"	"Present"	"Absent"
"VWA1"	"Absent"	"Present"	"Absent"
"CRIP2"	"Absent"	"Present"	"Absent"
"CYFIP2"	"Absent"	"Present"	"Absent"
"ADA"	"Absent"	"Present"	"Absent"
