,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Pi16,0,1.802719719,0.951,0.523,0,0,Pi16
Smpd3,0,1.753287699,0.491,0.056,0,0,Smpd3
Ugdh,0,1.473189568,0.913,0.528,0,0,Ugdh
Anxa3,0,1.467687908,0.855,0.324,0,0,Anxa3
Sema3c,0,1.396744908,0.827,0.334,0,0,Sema3c
Pla1a,0,1.38425194,0.691,0.179,0,0,Pla1a
Efemp1,0,1.358876531,0.854,0.326,0,0,Efemp1
Igfbp5,0,1.327772984,0.906,0.612,0,0,Igfbp5
Cd55,0,1.298001662,0.768,0.287,0,0,Cd55
Gfpt2,0,1.238258047,0.773,0.349,0,0,Gfpt2
Ptx3,0,1.211680785,0.537,0.244,0,0,Ptx3
Dpp4,0,1.209444867,0.684,0.192,0,0,Dpp4
Sbsn,0,1.138794363,0.409,0.109,0,0,Sbsn
Mrgprg,0,1.121108643,0.146,0.007,0,0,Mrgprg
Gan,0,1.094307882,0.359,0.102,0,0,Gan
Cmah,0,1.090436446,0.527,0.123,0,0,Cmah
Tmem100,0,1.089253891,0.683,0.25,0,0,Tmem100
Plpp3,0,1.082424438,0.953,0.685,0,0,Plpp3
Ptgs2,0,1.07608649,0.568,0.247,0,0,Ptgs2
Ackr3,0,1.064879856,0.862,0.467,0,0,Ackr3
Scara5,0,1.056577801,0.757,0.291,0,0,Scara5
Cd248,0,1.038211431,0.877,0.492,0,0,Cd248
Emilin2,0,1.028558213,0.703,0.29,0,0,Emilin2
Gas7,0,0.984688576,0.55,0.2,0,0,Gas7
Car8,0,0.960559252,0.343,0.032,0,0,Car8
Aldh1a3,0,0.952029472,0.327,0.038,0,0,Aldh1a3
Pcolce2,0,0.951692234,0.767,0.342,0,0,Pcolce2
Efhd1,0,0.950964347,0.445,0.087,0,0,Efhd1
Creb5,0,0.950086064,0.612,0.237,0,0,Creb5
Fn1,0,0.938945856,0.991,0.804,0,0,Fn1
Akr1c18,0,0.926667843,0.217,0.019,0,0,Akr1c18
Errfi1,0,0.914188663,0.88,0.6,0,0,Errfi1
Tgfbr2,0,0.911106052,0.77,0.431,0,0,Tgfbr2
Metrnl,0,0.904247143,0.518,0.206,0,0,Metrnl
Nova1,0,0.890918421,0.561,0.214,0,0,Nova1
Ly6c1,0,0.890662577,0.952,0.652,0,0,Ly6c1
Tnfaip6,0,0.87807112,0.863,0.591,0,0,Tnfaip6
Prss23,0,0.877319452,0.805,0.478,0,0,Prss23
Thbd,0,0.847561236,0.486,0.182,0,0,Thbd
Procr,0,0.846186864,0.494,0.158,0,0,Procr
Edn1,0,0.823051216,0.247,0.05,0,0,Edn1
Adgrd1,0,0.813334223,0.541,0.215,0,0,Adgrd1
Timp2,0,0.804694882,0.967,0.811,0,0,Timp2
Uap1,0,0.790587616,0.605,0.327,0,0,Uap1
Has1,0,0.784236933,0.747,0.447,0,0,Has1
Ifi27l2a,0,0.76544884,0.728,0.403,0,0,Ifi27l2a
C3,0,0.756116175,0.966,0.723,0,0,C3
Clec3b,0,0.753266199,0.938,0.671,0,0,Clec3b
Il18,0,0.751616517,0.292,0.051,0,0,Il18
Ddr2,0,0.746203023,0.672,0.369,0,0,Ddr2
Anxa1,0,0.736845141,0.955,0.782,0,0,Anxa1
Ltbp1,0,0.73055534,0.48,0.197,0,0,Ltbp1
Fbn1,0,0.729988535,0.934,0.706,0,0,Fbn1
C4b,0,0.725499975,0.634,0.325,0,0,C4b
Aif1l,0,0.720617833,0.271,0.049,0,0,Aif1l
Cadm3,0,0.707919955,0.417,0.131,0,0,Cadm3
Adamtsl4,0,0.703570297,0.343,0.104,0,0,Adamtsl4
Plac8,0,0.702485054,0.592,0.291,0,0,Plac8
Scara3,0,0.697924441,0.55,0.266,0,0,Scara3
Tek,0,0.693950886,0.374,0.104,0,0,Tek
Maf,0,0.691290282,0.559,0.272,0,0,Maf
Zyx,0,0.690679687,0.589,0.306,0,0,Zyx
Mgll,0,0.688532365,0.374,0.108,0,0,Mgll
Gda,0,0.684964459,0.479,0.208,0,0,Gda
1700019D03Rik,0,0.68203103,0.333,0.077,0,0,1700019D03Rik
Heg1,0,0.674294901,0.639,0.382,0,0,Heg1
Axl,0,0.671550084,0.667,0.376,0,0,Axl
Npr1,0,0.665002675,0.306,0.069,0,0,Npr1
Fndc1,0,0.659240592,0.846,0.587,0,0,Fndc1
Cd34,0,0.651568718,0.873,0.608,0,0,Cd34
Lrrn4cl,0,0.646115468,0.667,0.385,0,0,Lrrn4cl
Ifi205,0,0.630148695,0.841,0.537,0,0,Ifi205
Adamts5,0,0.623437814,0.77,0.494,0,0,Adamts5
Serpinb6a,0,0.621191991,0.83,0.611,0,0,Serpinb6a
Marcks,0,0.618353045,0.928,0.778,0,0,Marcks
Man1a,0,0.617118257,0.697,0.433,0,0,Man1a
Mfap5,0,0.603685318,0.943,0.749,0,0,Mfap5
Ly6a,0,0.597755028,0.973,0.789,0,0,Ly6a
Limch1,0,0.588797877,0.281,0.065,0,0,Limch1
