,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Chodl.8,0,2.627055605,0.702,0.024,0,8,Chodl
Des.8,0,2.103377656,0.578,0.049,0,8,Des
Pax7.8,0,2.019472082,0.51,0.004,0,8,Pax7
Cd82.8,0,1.607878584,0.406,0.024,0,8,Cd82
Myf5.8,0,1.52662295,0.274,0.001,0,8,Myf5
Fgfr4.8,0,1.420667135,0.32,0.003,0,8,Fgfr4
Edn3.8,0,1.28383726,0.25,0.005,0,8,Edn3
Myod1.8,0,1.210637123,0.197,0.004,0,8,Myod1
Prox1.8,0,1.201960495,0.229,0.005,0,8,Prox1
Cdh15.8,0,1.159029325,0.256,0.004,0,8,Cdh15
Chrdl2.8,0,1.131814678,0.19,0.001,0,8,Chrdl2
Drp2.8,0,1.113103556,0.245,0.012,0,8,Drp2
Ank1.8,0,1.029243931,0.226,0.011,0,8,Ank1
Chrna1.8,0,0.955124891,0.189,0.006,0,8,Chrna1
Jsrp1.8,0,0.949784117,0.2,0.009,0,8,Jsrp1
Pde1c.8,0,0.945292162,0.16,0.002,0,8,Pde1c
Asb5.8,0,0.861210125,0.165,0.003,0,8,Asb5
Col1a2.8,0,-2.19579082,0.624,0.982,0,8,Col1a2
Dcn.8,0,-2.721894111,0.536,0.962,0,8,Dcn
Mrln.8,7.12E-300,0.907859259,0.19,0.009,1.26E-295,8,Mrln
Clmn.8,5.76E-286,1.524753435,0.318,0.032,1.02E-281,8,Clmn
Pde4b.8,1.28E-262,1.966775832,0.542,0.114,2.26E-258,8,Pde4b
Prkcq.8,1.93E-260,0.653645765,0.115,0.003,3.42E-256,8,Prkcq
Col3a1.8,1.14E-249,-1.822148669,0.771,0.978,2.02E-245,8,Col3a1
Fstl1.8,2.40E-236,-1.681701424,0.432,0.917,4.25E-232,8,Fstl1
Crlf1.8,6.06E-232,1.100649146,0.256,0.025,1.07E-227,8,Crlf1
Col1a1.8,3.85E-228,-1.97920549,0.461,0.931,6.81E-224,8,Col1a1
Mfap5.8,1.38E-224,-2.149591021,0.176,0.825,2.44E-220,8,Mfap5
Sparc.8,2.69E-224,-1.406487226,0.813,0.988,4.76E-220,8,Sparc
Aebp1.8,2.54E-222,-2.211329995,0.176,0.826,4.50E-218,8,Aebp1
Rnase4.8,4.58E-222,-1.782428352,0.17,0.845,8.10E-218,8,Rnase4
Vgll2.8,5.89E-222,0.657490825,0.112,0.003,1.04E-217,8,Vgll2
Ly6a.8,9.06E-222,-1.932616414,0.299,0.859,1.60E-217,8,Ly6a
mt-Cytb.8,5.99E-217,1.044577414,0.976,0.869,1.06E-212,8,mt-Cytb
Igfbp6.8,4.87E-216,-2.103297991,0.242,0.847,8.61E-212,8,Igfbp6
Heyl.8,1.30E-211,1.128602447,0.245,0.025,2.30E-207,8,Heyl
S100a6.8,8.37E-206,-1.217138416,0.578,0.951,1.48E-201,8,S100a6
Cd200.8,1.95E-203,1.432423743,0.419,0.081,3.45E-199,8,Cd200
Fn1.8,1.64E-199,-1.957630756,0.406,0.871,2.90E-195,8,Fn1
Chrnb1.8,1.76E-199,0.889352767,0.168,0.011,3.11E-195,8,Chrnb1
Lum.8,2.72E-197,-1.939799228,0.182,0.802,4.81E-193,8,Lum
Dhcr24.8,9.12E-196,1.358411173,0.245,0.027,1.61E-191,8,Dhcr24
Mmp2.8,1.03E-193,-1.605263396,0.269,0.843,1.82E-189,8,Mmp2
Nppc.8,2.71E-189,1.705581375,0.189,0.016,4.80E-185,8,Nppc
