,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Myog.17,0,3.698402451,0.932,0.006,0,17,Myog
Actc1.17,0,3.234464228,0.659,0.005,0,17,Actc1
Neb.17,0,3.091814213,0.75,0.014,0,17,Neb
Mymk.17,0,2.964838618,0.773,0.002,0,17,Mymk
Tnnt2.17,0,2.898619925,0.727,0.003,0,17,Tnnt2
Klhl41.17,0,2.224463214,0.591,0.005,0,17,Klhl41
Pnmal2.17,0,2.105439565,0.705,0.014,0,17,Pnmal2
Mymx.17,0,1.941083296,0.455,0.001,0,17,Mymx
Chrna1.17,0,1.905905338,0.727,0.011,0,17,Chrna1
Mylk4.17,0,1.524323287,0.409,0.001,0,17,Mylk4
Arpp21.17,0,1.504838377,0.477,0.002,0,17,Arpp21
Myh3.17,0,1.485844821,0.227,0.001,0,17,Myh3
Rbm24.17,0,1.479972931,0.5,0.004,0,17,Rbm24
Gm28653.17,0,1.430038287,0.341,0.001,0,17,Gm28653
Tnni1.17,0,1.415769918,0.341,0.002,0,17,Tnni1
Srl.17,0,1.012178089,0.409,0.001,0,17,Srl
Traf3ip3.17,1.27E-273,1.046759864,0.364,0.004,2.24E-269,17,Traf3ip3
Myo18b.17,4.46E-273,0.533294237,0.182,0.001,7.90E-269,17,Myo18b
Popdc3.17,3.62E-257,1.421960388,0.386,0.005,6.40E-253,17,Popdc3
Lmod2.17,2.49E-237,1.196411197,0.273,0.002,4.41E-233,17,Lmod2
Ryr1.17,2.25E-233,1.197106214,0.273,0.002,3.98E-229,17,Ryr1
Ttn.17,2.40E-232,3.945522682,0.75,0.021,4.25E-228,17,Ttn
Myod1.17,7.00E-232,1.525757434,0.523,0.01,1.24E-227,17,Myod1
Atp2a1.17,5.44E-224,1.307622038,0.364,0.005,9.63E-220,17,Atp2a1
Megf10.17,4.39E-219,1.41535656,0.386,0.006,7.78E-215,17,Megf10
Jsrp1.17,7.86E-214,1.629063307,0.591,0.014,1.39E-209,17,Jsrp1
Ank1.17,3.55E-204,1.565695195,0.636,0.017,6.29E-200,17,Ank1
Vgll2.17,2.10E-197,1.28421334,0.386,0.006,3.71E-193,17,Vgll2
Cobl.17,4.53E-182,1.411819664,0.5,0.012,8.01E-178,17,Cobl
Cacng1.17,5.30E-180,0.859034541,0.273,0.003,9.38E-176,17,Cacng1
Smim5.17,1.14E-178,0.478117327,0.182,0.001,2.01E-174,17,Smim5
Myh8.17,3.71E-170,0.544747042,0.136,0.001,6.57E-166,17,Myh8
Synpo2l.17,5.92E-159,0.656008834,0.182,0.002,1.05E-154,17,Synpo2l
Klhl31.17,6.61E-157,0.559338524,0.205,0.002,1.17E-152,17,Klhl31
Gatm.17,3.08E-152,1.184173886,0.409,0.009,5.46E-148,17,Gatm
5430431A17Rik.17,3.39E-151,1.83953765,0.364,0.007,5.99E-147,17,5430431A17Rik
Chd7.17,4.40E-147,1.038327613,0.386,0.009,7.79E-143,17,Chd7
Lmnb2.17,1.93E-136,1.72708264,0.545,0.019,3.41E-132,17,Lmnb2
Dll1.17,7.38E-133,0.700594174,0.182,0.002,1.31E-128,17,Dll1
Smyd1.17,1.12E-132,0.308173081,0.159,0.001,1.99E-128,17,Smyd1
Chchd10.17,3.21E-131,1.15520766,0.477,0.015,5.67E-127,17,Chchd10
A930003A15Rik.17,3.36E-129,0.379685568,0.136,0.001,5.95E-125,17,A930003A15Rik
Cap2.17,4.54E-129,0.925114659,0.386,0.01,8.03E-125,17,Cap2
Zdbf2.17,2.64E-120,1.148851394,0.25,0.004,4.68E-116,17,Zdbf2
Sgcg.17,1.22E-119,0.439843086,0.136,0.001,2.16E-115,17,Sgcg
Dok7.17,1.36E-119,0.399700214,0.136,0.001,2.41E-115,17,Dok7
Fndc5.17,2.49E-116,0.753896898,0.318,0.007,4.41E-112,17,Fndc5
Ralgps2.17,1.79E-108,1.579245296,0.477,0.018,3.17E-104,17,Ralgps2
Afap1l1.17,1.68E-105,0.5197693,0.205,0.003,2.98E-101,17,Afap1l1
Myzap.17,8.06E-101,1.400246175,0.409,0.015,1.43E-96,17,Myzap
Hrc.17,6.92E-97,0.810132942,0.273,0.007,1.22E-92,17,Hrc
Cdh15.17,1.94E-96,0.968031296,0.364,0.012,3.44E-92,17,Cdh15
Casz1.17,5.03E-95,0.36019855,0.159,0.002,8.91E-91,17,Casz1
Iffo1.17,8.42E-88,1.479959074,0.568,0.033,1.49E-83,17,Iffo1
Dusp4.17,2.69E-86,0.452745938,0.205,0.004,4.75E-82,17,Dusp4
Cd82.17,6.16E-79,1.313285033,0.568,0.036,1.09E-74,17,Cd82
Chn2.17,6.99E-76,0.89238413,0.273,0.008,1.24E-71,17,Chn2
Sox6.17,1.79E-75,0.512441278,0.182,0.004,3.17E-71,17,Sox6
Bex1.17,5.60E-75,0.873514954,0.136,0.002,9.91E-71,17,Bex1
Apobec2.17,2.56E-74,0.386345319,0.182,0.004,4.53E-70,17,Apobec2
Itgb6.17,1.06E-72,0.409829497,0.159,0.003,1.87E-68,17,Itgb6
Fitm1.17,3.75E-71,0.701073138,0.227,0.006,6.63E-67,17,Fitm1
Gm20033.17,4.87E-71,0.661618493,0.182,0.004,8.61E-67,17,Gm20033
Sox8.17,1.50E-70,0.751147421,0.205,0.005,2.65E-66,17,Sox8
Gpt2.17,2.99E-67,0.871047714,0.364,0.017,5.30E-63,17,Gpt2
Pstpip2.17,3.78E-66,0.419049553,0.114,0.002,6.69E-62,17,Pstpip2
Lef1.17,8.56E-66,0.476768771,0.091,0.001,1.52E-61,17,Lef1
Sync.17,3.79E-64,0.754688299,0.295,0.012,6.71E-60,17,Sync
Chrnb1.17,2.51E-62,0.701692573,0.341,0.016,4.45E-58,17,Chrnb1
Klhl40.17,4.26E-62,0.46692331,0.159,0.003,7.53E-58,17,Klhl40
Hip1.17,5.11E-62,1.904917652,0.727,0.081,9.05E-58,17,Hip1
Prox1.17,1.27E-61,0.784235792,0.295,0.012,2.25E-57,17,Prox1
Zbtb18.17,3.42E-61,0.80239067,0.273,0.011,6.05E-57,17,Zbtb18
Lama5.17,6.00E-60,0.498065622,0.182,0.005,1.06E-55,17,Lama5
Dusp27.17,1.60E-58,0.185092193,0.068,0.001,2.83E-54,17,Dusp27
Hes6.17,5.30E-57,1.242259264,0.5,0.039,9.39E-53,17,Hes6
Cav3.17,1.68E-56,0.66639441,0.136,0.003,2.97E-52,17,Cav3
Kcnk13.17,9.60E-56,0.441469459,0.091,0.001,1.70E-51,17,Kcnk13
E2f8.17,1.07E-53,0.458238222,0.136,0.003,1.89E-49,17,E2f8
Tnfrsf19.17,1.12E-51,0.248236042,0.091,0.001,1.99E-47,17,Tnfrsf19
Palmd.17,3.51E-51,1.27133828,0.432,0.032,6.21E-47,17,Palmd
Tnnt1.17,4.98E-51,1.419360593,0.295,0.015,8.81E-47,17,Tnnt1
Tmem88b.17,5.25E-51,0.336203887,0.114,0.002,9.29E-47,17,Tmem88b
Pitx2.17,6.15E-51,0.260597729,0.114,0.002,1.09E-46,17,Pitx2
Acta2.17,1.71E-49,2.422163972,0.841,0.143,3.02E-45,17,Acta2
Cox8b.17,5.61E-49,0.564196777,0.273,0.013,9.93E-45,17,Cox8b
Stac3.17,6.14E-48,0.612948817,0.227,0.009,1.09E-43,17,Stac3
Pcyt1b.17,9.92E-48,0.267949934,0.114,0.002,1.76E-43,17,Pcyt1b
Fgfr4.17,1.97E-47,0.597579271,0.273,0.013,3.49E-43,17,Fgfr4
Asb5.17,2.85E-45,0.742010962,0.205,0.008,5.05E-41,17,Asb5
Fhad1.17,2.88E-43,0.378564208,0.068,0.001,5.10E-39,17,Fhad1
Gm3924.17,2.69E-42,0.290218898,0.114,0.003,4.76E-38,17,Gm3924
Cdk5r1.17,6.05E-42,0.393257619,0.159,0.005,1.07E-37,17,Cdk5r1
Akap6.17,1.48E-41,0.526362588,0.136,0.004,2.63E-37,17,Akap6
Acta1.17,2.03E-41,1.872641738,0.523,0.059,3.59E-37,17,Acta1
Tmem182.17,3.45E-40,0.259684617,0.091,0.002,6.11E-36,17,Tmem182
Dgkz.17,6.18E-39,0.927555617,0.386,0.033,1.09E-34,17,Dgkz
Tpm2.17,2.77E-38,1.591915646,0.886,0.192,4.91E-34,17,Tpm2
Elovl3.17,2.01E-37,0.174666061,0.068,0.001,3.56E-33,17,Elovl3
Gm7332.17,1.18E-36,0.432086634,0.227,0.012,2.09E-32,17,Gm7332
Serinc2.17,5.67E-36,0.466975426,0.159,0.006,1.00E-31,17,Serinc2
Homer2.17,7.34E-36,0.898226203,0.273,0.018,1.30E-31,17,Homer2
Inpp4b.17,8.12E-36,0.51636847,0.25,0.015,1.44E-31,17,Inpp4b
Top1mt.17,8.49E-35,0.710832193,0.25,0.016,1.50E-30,17,Top1mt
Myl1.17,1.04E-34,1.064707679,0.341,0.029,1.84E-30,17,Myl1
Patj.17,1.81E-34,0.3228795,0.114,0.003,3.20E-30,17,Patj
Lmod3.17,2.11E-34,0.617435342,0.114,0.003,3.74E-30,17,Lmod3
Cdkn1c.17,4.75E-34,3.152126729,0.932,0.328,8.40E-30,17,Cdkn1c
Lsm6.17,8.05E-34,1.990084314,0.727,0.155,1.42E-29,17,Lsm6
Ankrd10.17,1.33E-33,1.42557335,0.568,0.084,2.35E-29,17,Ankrd10
Des.17,1.33E-33,1.115122287,0.523,0.066,2.36E-29,17,Des
Art1.17,5.77E-33,0.108171286,0.068,0.001,1.02E-28,17,Art1
Purb.17,6.63E-33,1.821435909,0.864,0.249,1.17E-28,17,Purb
Myh1.17,7.93E-33,0.638844513,0.136,0.005,1.40E-28,17,Myh1
Spg21.17,2.44E-32,1.881925025,0.682,0.134,4.31E-28,17,Spg21
Ldb3.17,2.80E-32,0.771599509,0.159,0.007,4.95E-28,17,Ldb3
Rgs16.17,1.16E-31,1.093462492,0.409,0.044,2.05E-27,17,Rgs16
Ppp1r14b.17,2.21E-31,1.369929197,0.682,0.134,3.91E-27,17,Ppp1r14b
Igf2.17,1.28E-30,0.626401446,0.182,0.01,2.27E-26,17,Igf2
Slc38a1.17,4.98E-30,0.409582226,0.136,0.006,8.81E-26,17,Slc38a1
Coq8a.17,6.87E-30,0.603841869,0.205,0.012,1.22E-25,17,Coq8a
Pdzrn4.17,1.42E-29,0.274723748,0.068,0.001,2.51E-25,17,Pdzrn4
Tmem201.17,2.13E-29,0.664101729,0.25,0.019,3.77E-25,17,Tmem201
Six4.17,7.52E-29,0.621747914,0.205,0.013,1.33E-24,17,Six4
Sh3bgr.17,5.21E-28,0.550645534,0.205,0.013,9.23E-24,17,Sh3bgr
Zfp568.17,7.79E-28,0.825262444,0.295,0.027,1.38E-23,17,Zfp568
