,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Mki67.14,0,2.287733104,0.926,0.021,0,14,Mki67
Top2a.14,0,2.161887575,0.761,0.017,0,14,Top2a
Cenpe.14,0,1.851981637,0.778,0.016,0,14,Cenpe
Pclaf.14,0,1.839811028,0.875,0.016,0,14,Pclaf
Cenpf.14,0,1.824231914,0.699,0.013,0,14,Cenpf
Prc1.14,0,1.76811039,0.722,0.017,0,14,Prc1
Hmmr.14,0,1.761892153,0.761,0.01,0,14,Hmmr
Stmn1.14,0,1.619817535,0.847,0.039,0,14,Stmn1
Tpx2.14,0,1.608647129,0.784,0.014,0,14,Tpx2
Anln.14,0,1.578189254,0.795,0.015,0,14,Anln
Smc2.14,0,1.538379332,0.903,0.081,0,14,Smc2
Cenpa.14,0,1.495970476,0.625,0.021,0,14,Cenpa
Birc5.14,0,1.486875966,0.784,0.017,0,14,Birc5
Ckap2l.14,0,1.393601149,0.773,0.011,0,14,Ckap2l
Kif23.14,0,1.381125876,0.659,0.008,0,14,Kif23
Incenp.14,0,1.368114648,0.705,0.031,0,14,Incenp
Cdca8.14,0,1.293490612,0.699,0.012,0,14,Cdca8
Diaph3.14,0,1.266333797,0.784,0.034,0,14,Diaph3
Kif20b.14,0,1.217905214,0.648,0.013,0,14,Kif20b
Aspm.14,0,1.211379603,0.562,0.008,0,14,Aspm
Ccnb2.14,0,1.171197485,0.608,0.02,0,14,Ccnb2
Cdk1.14,0,1.146057938,0.614,0.014,0,14,Cdk1
Ube2c.14,0,1.115103382,0.528,0.014,0,14,Ube2c
Cks2.14,0,1.10434757,0.676,0.022,0,14,Cks2
Cdc20.14,0,1.047200464,0.483,0.01,0,14,Cdc20
Ckap2.14,0,1.032461707,0.574,0.011,0,14,Ckap2
Knl1.14,0,1.027588724,0.608,0.005,0,14,Knl1
Racgap1.14,0,1.017442746,0.659,0.011,0,14,Racgap1
Spc25.14,0,1.006755076,0.591,0.008,0,14,Spc25
Tacc3.14,0,1.003274989,0.653,0.017,0,14,Tacc3
Nuf2.14,0,0.995327668,0.614,0.006,0,14,Nuf2
Lockd.14,0,0.969693902,0.545,0.021,0,14,Lockd
Clspn.14,0,0.957024874,0.5,0.013,0,14,Clspn
Nusap1.14,0,0.933998387,0.392,0.01,0,14,Nusap1
Ccna2.14,0,0.924922773,0.591,0.009,0,14,Ccna2
Cdca3.14,0,0.920988312,0.54,0.01,0,14,Cdca3
Kif15.14,0,0.887953704,0.568,0.008,0,14,Kif15
Kif11.14,0,0.884415255,0.517,0.008,0,14,Kif11
Knstrn.14,0,0.881095074,0.494,0.012,0,14,Knstrn
Cip2a.14,0,0.868288432,0.545,0.013,0,14,Cip2a
Tk1.14,0,0.838148547,0.568,0.022,0,14,Tk1
Arhgap11a.14,0,0.830997628,0.511,0.007,0,14,Arhgap11a
Plk4.14,0,0.824221542,0.653,0.03,0,14,Plk4
Spc24.14,0,0.823573027,0.54,0.01,0,14,Spc24
Hist1h1b.14,0,0.821775087,0.301,0.002,0,14,Hist1h1b
Ndc80.14,0,0.816784841,0.517,0.004,0,14,Ndc80
Gmnn.14,0,0.815088251,0.506,0.011,0,14,Gmnn
Dlgap5.14,0,0.812043352,0.506,0.005,0,14,Dlgap5
Ccnb1.14,0,0.800867675,0.466,0.006,0,14,Ccnb1
Bub1.14,0,0.786768696,0.534,0.005,0,14,Bub1
Pbk.14,0,0.786566416,0.483,0.003,0,14,Pbk
Esco2.14,0,0.767383005,0.398,0.003,0,14,Esco2
Cenpq.14,0,0.73763057,0.557,0.021,0,14,Cenpq
Prr11.14,0,0.737621366,0.432,0.005,0,14,Prr11
Cenpw.14,0,0.731517431,0.551,0.015,0,14,Cenpw
Dbf4.14,0,0.725246919,0.54,0.014,0,14,Dbf4
Rrm2.14,0,0.716982333,0.432,0.01,0,14,Rrm2
Ncapg.14,0,0.693570705,0.489,0.006,0,14,Ncapg
Spdl1.14,0,0.692231268,0.409,0.004,0,14,Spdl1
Kif4.14,0,0.674657746,0.409,0.004,0,14,Kif4
Cdkn3.14,0,0.649545746,0.398,0.006,0,14,Cdkn3
Cep55.14,0,0.638966027,0.42,0.003,0,14,Cep55
Uhrf1.14,0,0.629863193,0.403,0.01,0,14,Uhrf1
Kif22.14,0,0.628963202,0.42,0.006,0,14,Kif22
Ect2.14,0,0.610993443,0.347,0.005,0,14,Ect2
Mad2l1.14,0,0.599046808,0.511,0.015,0,14,Mad2l1
Rad51ap1.14,0,0.597725468,0.381,0.004,0,14,Rad51ap1
Mis18bp1.14,0,0.593879828,0.33,0.003,0,14,Mis18bp1
Melk.14,0,0.592490118,0.398,0.003,0,14,Melk
Cenph.14,0,0.57792644,0.398,0.006,0,14,Cenph
Cenpk.14,0,0.56787777,0.386,0.01,0,14,Cenpk
Asf1b.14,0,0.563865547,0.415,0.003,0,14,Asf1b
Mxd3.14,0,0.559195302,0.33,0.004,0,14,Mxd3
Zwilch.14,0,0.558399584,0.42,0.008,0,14,Zwilch
Fbxo5.14,0,0.545947039,0.29,0.005,0,14,Fbxo5
Aurkb.14,0,0.539739411,0.33,0.003,0,14,Aurkb
Pimreg.14,0,0.530686716,0.312,0.002,0,14,Pimreg
Sgo1.14,0,0.530499102,0.324,0.007,0,14,Sgo1
Ska1.14,0,0.527965578,0.364,0.002,0,14,Ska1
Shcbp1.14,0,0.525763473,0.335,0.003,0,14,Shcbp1
Ncapd2.14,0,0.516136191,0.386,0.012,0,14,Ncapd2
Kif2c.14,0,0.507863862,0.318,0.003,0,14,Kif2c
Plk1.14,0,0.502189082,0.335,0.003,0,14,Plk1
Cenpm.14,0,0.500682467,0.352,0.006,0,14,Cenpm
2700099C18Rik.14,0,0.49482311,0.358,0.007,0,14,2700099C18Rik
Sgo2a.14,0,0.47704474,0.312,0.003,0,14,Sgo2a
Ttk.14,0,0.473011138,0.312,0.003,0,14,Ttk
Pmf1.14,0,0.46881702,0.386,0.011,0,14,Pmf1
Mns1.14,0,0.463110421,0.318,0.008,0,14,Mns1
Ncaph.14,0,0.452357048,0.301,0.004,0,14,Ncaph
Bub1b.14,0,0.448027651,0.318,0.004,0,14,Bub1b
Nek2.14,0,0.434874642,0.261,0.001,0,14,Nek2
Trip13.14,0,0.425153286,0.318,0.007,0,14,Trip13
Cdc25c.14,0,0.406568899,0.261,0.002,0,14,Cdc25c
Aurka.14,0,0.398845145,0.227,0.002,0,14,Aurka
Brip1.14,0,0.39492903,0.284,0.005,0,14,Brip1
Cdca2.14,0,0.391779067,0.278,0.003,0,14,Cdca2
Cenpn.14,0,0.372251074,0.295,0.004,0,14,Cenpn
Spag5.14,0,0.357839498,0.256,0.003,0,14,Spag5
Neil3.14,0,0.353708739,0.199,0.001,0,14,Neil3
Kif14.14,0,0.34030919,0.222,0.001,0,14,Kif14
Kifc1.14,0,0.332991391,0.25,0.002,0,14,Kifc1
Gen1.14,0,0.311146309,0.233,0.004,0,14,Gen1
Brca1.14,0,0.3098957,0.199,0.002,0,14,Brca1
Depdc1a.14,0,0.276005776,0.205,0.001,0,14,Depdc1a
Cdca5.14,0,0.268465027,0.182,0.001,0,14,Cdca5
Troap.14,0,0.263212268,0.148,0.001,0,14,Troap
Iqgap3.14,0,0.261451433,0.159,0.001,0,14,Iqgap3
Parpbp.14,0,0.199177379,0.165,0.002,0,14,Parpbp
Ncapg2.14,9.57E-298,0.540255887,0.42,0.017,1.69E-293,14,Ncapg2
Trim59.14,2.17E-294,0.633147611,0.426,0.018,3.83E-290,14,Trim59
Sapcd2.14,3.45E-287,0.172784715,0.119,0.001,6.10E-283,14,Sapcd2
Kntc1.14,5.70E-286,0.203299547,0.153,0.002,1.01E-281,14,Kntc1
Kif20a.14,2.10E-285,0.274181031,0.17,0.002,3.72E-281,14,Kif20a
Gm15428.14,4.99E-285,0.174893442,0.131,0.001,8.83E-281,14,Gm15428
Rrm1.14,3.41E-266,0.979253482,0.727,0.061,6.03E-262,14,Rrm1
Ankle1.14,2.46E-263,0.154588962,0.119,0.001,4.35E-259,14,Ankle1
Rad54b.14,1.33E-259,0.237475643,0.159,0.002,2.36E-255,14,Rad54b
Stil.14,7.54E-247,0.230558748,0.182,0.003,1.33E-242,14,Stil
Kif18a.14,8.18E-245,0.26464999,0.21,0.005,1.45E-240,14,Kif18a
Slfn9.14,2.30E-243,1.017321317,0.551,0.038,4.07E-239,14,Slfn9
Ccne2.14,1.47E-237,0.546121489,0.301,0.011,2.61E-233,14,Ccne2
Blm.14,3.31E-237,0.385389227,0.33,0.013,5.85E-233,14,Blm
