,logFC,logCPM,F,PValue,FDR
Tek,-1.774616718,8.228041105,240.1129085,1.43E-10,6.56E-07
Col8a1,1.470007019,7.726462436,153.7598489,3.13E-09,3.34E-06
Fgf2,-1.256845097,4.966409452,124.522503,1.30E-08,6.78E-06
Inhbb,1.682622594,5.382646948,120.9979797,1.57E-08,7.37E-06
Adm,-1.007211857,5.760566746,103.65835,4.36E-08,1.33E-05
Col20a1,-2.449656231,4.429603381,95.87029282,7.25E-08,1.84E-05
Cd55,-1.22460204,7.485746304,92.82819104,8.93E-08,2.10E-05
Tnc,1.486539697,8.212616092,88.29843946,1.23E-07,2.59E-05
Cxcl13,-2.339502797,3.757782813,87.27377719,1.33E-07,2.76E-05
Spp1,1.6744099,7.578614481,86.45990333,1.41E-07,2.87E-05
Dpp4,-1.624352414,6.969061184,78.0726036,2.70E-07,4.01E-05
Il1r2,-2.096895788,4.494889622,76.10871058,3.17E-07,4.46E-05
Fgf10,-1.975678028,4.390049087,75.22916811,3.40E-07,4.65E-05
Vegfa,-1.00003273,6.287233853,74.96896574,3.48E-07,4.68E-05
Col11a1,1.362288677,4.465528411,71.37702552,4.73E-07,5.85E-05
Tgfa,-3.502773117,3.196147115,65.75156996,7.85E-07,8.69E-05
Cx3cl1,1.209738396,5.512347911,64.07956518,9.19E-07,9.61E-05
Sema3c,-1.33853973,8.01897842,63.42907902,9.78E-07,0.000100026
Bmp6,-1.032040115,5.96765796,57.59779189,1.75E-06,0.000150536
Ccl11,-0.816599221,8.093650105,57.01185889,1.86E-06,0.000157082
Sema3f,1.283530221,6.81511456,54.82352509,2.35E-06,0.0001861
Il6ra,-1.038038749,4.797617891,54.13066601,2.53E-06,0.000195776
Bmp4,-0.809308019,4.890915836,51.33769152,3.46E-06,0.000248058
Il17ra,-0.875478462,7.013580206,48.49421223,4.82E-06,0.00031984
Tgfb2,-0.598594433,6.227751783,46.92675115,5.83E-06,0.000366569
Ntf3,-1.699319671,3.791797867,46.23525409,6.34E-06,0.000388439
Col18a1,1.113560242,9.737457495,45.09800084,7.31E-06,0.000433269
Anxa1,-0.639932272,9.715323287,44.79201854,7.60E-06,0.000441768
Timp1,1.407200875,7.927980723,44.45602079,7.93E-06,0.00045385
Nrp2,0.697631887,7.821291402,42.19187691,1.06E-05,0.000558684
Il6,-0.768145463,8.763048501,40.88191853,1.27E-05,0.000643387
Tgfb3,0.506879276,6.091918567,40.85311648,1.27E-05,0.000643387
Bmp2,-0.941601036,4.222059213,40.37658388,1.36E-05,0.000675081
Fgf18,-1.055019065,3.638761611,37.05762668,2.18E-05,0.000942316
Rarres2,-0.883604161,6.866884559,36.90692621,2.23E-05,0.000956754
Vegfc,0.640943463,5.098293415,35.98163094,2.55E-05,0.001059209
Tgfb1,0.571069381,6.319356673,35.67863098,2.67E-05,0.001101446
Cxcl10,-1.284751753,6.482484087,35.53454066,2.73E-05,0.001120559
Cxcl5,1.64708616,6.055705948,35.47806039,2.75E-05,0.001127622
Cxcl9,-1.202170773,6.242727563,34.5689433,3.16E-05,0.001253156
Flt1,1.109940812,9.126715742,34.53336669,3.18E-05,0.001257315
Cxcl12,0.713396211,10.42004675,33.07504168,3.99E-05,0.001468353
Col12a1,1.25088089,7.990011532,32.63623493,4.28E-05,0.001559201
Ccl9,0.698259809,5.759770985,32.02801997,4.72E-05,0.001670228
Pdgfd,-0.708207863,6.126146795,32.00279551,4.74E-05,0.001673858
Col15a1,0.584838615,10.49628375,28.661593,8.34E-05,0.002523851
Fgf23,-1.716399677,2.4928167,27.92126291,9.51E-05,0.002790967
Mdk,0.974995908,5.116853934,27.55125413,0.000101644,0.002898961
Angpt2,0.696529015,6.351172862,26.82527454,0.000116001,0.003179784
Penk,-1.344511906,4.071427201,26.29717457,0.000127898,0.003394116
Tslp,-1.414887718,2.135466747,26.18425753,0.000130618,0.0034513
Col4a5,-0.920684296,5.624041843,25.74063199,0.000141961,0.003661201
Il34,0.869279609,5.017780329,25.57174085,0.000146571,0.003745118
Adgre5,0.482059293,6.681038866,24.7538286,0.000171445,0.004219537
Eda,-0.762165063,3.807836708,24.01637912,0.000198054,0.004740616
Kitl,-0.470487509,7.868153398,22.61608195,0.000262593,0.005926558
Flt4,1.34506915,7.400761815,21.69716209,0.000317926,0.006799918
Hc,1.819329825,3.841196941,21.64548993,0.000321411,0.006851401
Il18,-1.454336585,2.948025158,20.90337151,0.000376582,0.007756575
Pdgfa,0.782949503,4.765904439,20.7725992,0.000387383,0.007934409
Pgf,-1.058086582,3.475319771,20.17014814,0.000441916,0.008776489
Ccl4,-3.01420891,3.141489855,19.87963117,0.000471301,0.009210233
Ogn,-0.738103559,8.559095994,19.70283322,0.00049027,0.009449816
,1.621245532,1.800721238,19.6599327,0.000495002,0.009499357
Vtn,-0.632674639,6.087577938,18.92383877,0.000584888,0.010785389
Ngf,-1.052579672,3.289280569,18.90616749,0.000587264,0.010807428
Efna1,0.599459076,6.360497783,18.36940173,0.000664936,0.011752551
Wnt11,-1.116833374,4.435452865,17.81154659,0.000758309,0.012976999
Clcf1,0.699709175,3.611340927,17.34419892,0.000848138,0.014049087
Fgfr3,1.773164262,4.718439768,17.30250255,0.000856725,0.014145616
Gas6,0.355572548,9.09168523,16.87940769,0.00094969,0.015227476
Inhba,0.845504083,3.676685228,16.45719547,0.001054088,0.016581965
Ereg,1.266291867,2.55706386,16.45299511,0.00105519,0.016585057
Col1a1,0.888902087,14.10531719,15.95749884,0.001194945,0.018173285
Nampt,-0.393085459,6.571410822,15.90650706,0.001210487,0.018333527
Vwf,1.262939814,9.051204632,15.78142378,0.001249599,0.018739886
Col11a2,1.152844505,3.154297295,14.83130208,0.001598539,0.022174891
Col1a2,0.770982377,14.06272282,14.54289365,0.001725566,0.023175481
Mif,0.616077964,4.921226537,14.53388212,0.001729716,0.023186556
Ager,1.367719722,1.728268574,14.46175877,0.001763348,0.023465605
Col8a2,1.451939429,4.452070502,14.42347328,0.001781504,0.023621376
Col4a3,-1.36317852,2.817404056,14.18692219,0.001898525,0.024795923
Col27a1,0.515331836,6.023228258,14.1537412,0.00191563,0.024983689
Il10,1.678699076,0.662767813,13.81938316,0.002098173,0.026773267
Ghr,0.292093358,6.57871431,13.49100566,0.00229701,0.028791252
Col5a2,0.725043838,11.34616242,13.24944593,0.002457041,0.030281543
Crlf2,0.580309348,4.944816347,13.14934484,0.002527058,0.030931126
Pthlh,-0.85020736,4.827913637,12.95724453,0.002667902,0.032181783
Bmp5,-0.62940252,4.226523662,12.91336887,0.002701314,0.032450494
Cd40,-1.915718422,2.293087566,12.82277733,0.002771825,0.032979134
Col6a1,0.635378863,11.74313784,12.52590193,0.003018057,0.034757011
Ccl8,0.695891567,5.554639983,11.97583506,0.003543359,0.039370419
Plaur,0.436774046,5.735870616,11.17364205,0.004508068,0.046646495
Epha3,1.008924693,3.737306305,11.13918103,0.004555799,0.047104032
Ccl7,-0.684309716,7.64091323,11.05147684,0.004679907,0.047984212
Col6a3,0.611177443,11.6135298,10.92852092,0.004860464,0.049478161
Ccl3,-1.309480985,3.862937044,10.76675243,0.005110285,0.051217526
Col16a1,0.419630951,8.471649965,10.49567971,0.005562582,0.054123315
Col6a2,0.650218538,11.64811758,10.31966543,0.005880791,0.056260792
Tnfsf11,1.111146849,2.765001888,9.826828655,0.00688868,0.062755529
Igf1,0.335954707,8.089656412,9.586177286,0.007451872,0.066464309
Il7r,1.165254948,1.963311407,9.463966197,0.007757978,0.068263494
Adipoq,-2.455756144,0.854860765,9.367084287,0.008010907,0.069669392
Col3a1,0.621648625,15.07490228,9.263993718,0.008290487,0.071337927
Ptprz1,-1.347364126,1.514573883,9.137934536,0.008647693,0.073581742
Tnfrsf25,0.985809071,2.805559082,9.118892028,0.008703173,0.073898015
Raet1e,1.373036487,2.286048146,9.003349329,0.009048692,0.075830938
Lama3,0.869774721,4.94898252,8.74243383,0.009888452,0.080725004
Omd,-0.694295017,3.083070831,8.591263425,0.010415805,0.083394756
Grn,0.229441902,8.659441222,8.507405691,0.010722235,0.085099791
Ccl12,3.040059397,-0.659432895,8.417335785,0.011062959,0.087042571
Wnt5a,-0.800138048,4.440230165,8.394650739,0.011150725,0.087593702
Tnfsf13,-1.317923805,1.304368147,8.172215758,0.012055043,0.092051663
Col4a4,-1.053331392,3.380550964,8.049537484,0.012589739,0.094790591
Pdgfb,-0.31522709,7.253276742,7.970857514,0.012947019,0.09684349
Fn1,0.460856438,13.18842876,7.853807044,0.013500339,0.100123411
Tnfrsf11b,1.274236119,3.712880126,7.780043769,0.013863001,0.10172321
Col28a1,0.48211334,3.967318887,7.520986238,0.015228558,0.108207266
Tnfrsf1a,0.187454134,8.245196818,7.42110897,0.015795956,0.110836142
Fam3c,0.238818685,5.956904732,7.379816794,0.016037623,0.111973531
Col5a3,0.559239618,10.95197913,7.334043769,0.01631051,0.113128974
Sema3e,-0.937325569,2.659106812,7.265805004,0.016727329,0.114845943
Icos,-1.610148625,0.765984545,7.210361112,0.017075052,0.11650588
Csf1,-0.286080195,8.072975864,7.021554508,0.018323285,0.1223502
Raet1d,1.029812609,1.49236624,6.898684092,0.019192161,0.126412825
Ccl6,0.367104126,5.477383271,6.814500027,0.019814943,0.12907557
Plxnb1,0.648937473,3.547888398,6.72658558,0.020490374,0.132112411
Tgfbr3,-0.214839088,8.255530911,6.683065822,0.020834548,0.133672534
Tnfsf9,-0.351074194,4.068204368,6.652292427,0.021081951,0.134740525
Il15,-0.487966875,3.818740521,6.648971477,0.021108852,0.134818344
Ncam1,0.721549334,3.927348658,6.639542805,0.021185445,0.135166092
