,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Col11a1,0,2.06722146,0.648,0.038,0
Col12a1,0,1.568062302,0.703,0.205,0
Col11a2,0,0.773049305,0.143,0.004,0
Sema3a,0,0.724230359,0.2,0.01,0
Col8a2,1.14E-278,1.03228717,0.355,0.049,2.02E-274
Tnc,2.08E-226,1.19013805,0.594,0.168,3.69E-222
Col1a2,6.50E-208,0.939525203,0.998,0.968,1.15E-203
Col1a1,3.13E-158,0.9620377,0.99,0.912,5.53E-154
Fbn1,1.74E-111,-1.045785968,0.542,0.78,3.07E-107
Mstn,1.80E-111,0.538369972,0.05,0.001,3.18E-107
C3,3.58E-97,-1.266682307,0.6,0.799,6.33E-93
Tgfb3,2.19E-95,0.688707319,0.393,0.136,3.88E-91
Hbegf,1.03E-91,0.99480476,0.381,0.134,1.83E-87
Ccl11,1.32E-87,-1.379328892,0.065,0.421,2.34E-83
Col2a1,4.04E-81,0.104090594,0.027,0,7.14E-77
Ogn,3.05E-73,0.683426202,0.898,0.803,5.40E-69
B2m,7.88E-72,-0.522160471,0.834,0.926,1.39E-67
Pdgfa,2.19E-71,0.59210601,0.287,0.094,3.88E-67
Cd55,1.47E-69,-1.205126339,0.133,0.433,2.60E-65
Col5a3,1.18E-63,-0.768552746,0.409,0.666,2.09E-59
Col8a1,1.87E-62,0.640196927,0.448,0.209,3.30E-58
Igf1,6.84E-61,0.579020285,0.775,0.561,1.21E-56
Anxa1,4.41E-58,-0.629999797,0.713,0.835,7.81E-54
Col16a1,3.87E-56,0.688380233,0.525,0.308,6.85E-52
Ptn,3.76E-53,0.835112679,0.422,0.209,6.65E-49
Lamc1,1.20E-45,-0.649577774,0.303,0.531,2.13E-41
Csf1,2.01E-44,-0.683353633,0.165,0.403,3.55E-40
Lepr,5.13E-44,0.364304291,0.097,0.02,9.08E-40
Col4a1,7.32E-43,-0.916359564,0.332,0.537,1.30E-38
Il6,4.94E-41,-1.258621564,0.099,0.312,8.75E-37
Col14a1,6.27E-41,-0.482317048,0.501,0.71,1.11E-36
Ccl7,1.21E-38,-1.270059397,0.201,0.406,2.14E-34
Inhba,4.04E-36,0.497264275,0.188,0.07,7.15E-32
Rspo2,4.52E-36,0.109738825,0.04,0.005,8.01E-32
Fgf9,5.67E-33,0.395285412,0.093,0.024,1.00E-28
Fgf7,5.20E-31,-0.57672292,0.045,0.212,9.20E-27
Fn1,1.03E-28,-0.424893577,0.78,0.859,1.82E-24
Rarres2,5.19E-28,-0.456703967,0.231,0.43,9.19E-24
Il6ra,2.15E-27,-0.544337143,0.022,0.164,3.81E-23
Col6a3,2.73E-27,-0.346012357,0.532,0.694,4.83E-23
Col6a6,6.85E-27,-0.541171589,0.029,0.172,1.21E-22
Nrp2,8.73E-27,0.328434615,0.158,0.063,1.55E-22
Ghr,2.76E-26,0.397055224,0.262,0.134,4.89E-22
Ccl8,2.81E-26,-0.62663645,0.043,0.19,4.97E-22
Tek,3.16E-26,-0.516001946,0.04,0.185,5.60E-22
Ccl2,6.32E-26,-1.119836501,0.125,0.283,1.12E-21
Il1r1,1.03E-23,-0.467881908,0.075,0.22,1.82E-19
Vegfd,5.13E-23,-0.415752588,0.034,0.163,9.08E-19
Il17ra,3.79E-22,-0.445426098,0.039,0.166,6.70E-18
Dpp4,2.10E-21,-0.534673615,0.183,0.335,3.72E-17
Kitl,2.35E-21,-0.510217185,0.014,0.124,4.16E-17
Il33,2.05E-20,-0.547544633,0.155,0.303,3.62E-16
Col5a2,3.37E-20,0.382278565,0.796,0.739,5.96E-16
Vtn,2.40E-19,-0.605264615,0.012,0.113,4.24E-15
Il18,5.09E-19,-0.40505164,0.02,0.122,9.01E-15
Ncam1,1.56E-18,0.315195783,0.211,0.11,2.76E-14
Cxcl12,1.69E-18,-0.632266713,0.281,0.414,3.00E-14
Nrp1,1.08E-17,-0.406470683,0.17,0.305,1.92E-13
Col6a5,1.81E-16,-0.633868528,0.022,0.114,3.20E-12
Il1r2,2.64E-15,-0.34681806,0.007,0.085,4.67E-11
Vegfa,4.15E-15,-0.382595977,0.082,0.187,7.35E-11
Sema3c,7.41E-15,-0.640696032,0.388,0.474,1.31E-10
Col4a2,8.20E-15,-0.543470988,0.258,0.375,1.45E-10
Il4ra,9.30E-15,-0.320031671,0.076,0.181,1.65E-10
Cxcl13,1.66E-14,-0.747912265,0.012,0.089,2.93E-10
Lama3,2.19E-14,0.052596577,0.016,0.002,3.87E-10
Penk,3.83E-14,-0.296353496,0.034,0.123,6.77E-10
Gdf10,1.48E-13,-0.37127517,0.012,0.085,2.63E-09
Col26a1,2.37E-13,0.102883186,0.016,0.002,4.19E-09
Cxcl10,1.00E-12,-0.662621611,0.032,0.11,1.77E-08
Wnt2,1.08E-12,-0.235355222,0.022,0.097,1.92E-08
Col4a5,1.43E-12,-0.277796528,0.012,0.08,2.53E-08
Fam3c,9.05E-12,0.289364987,0.283,0.194,1.60E-07
Gas6,6.03E-11,0.199253562,0.47,0.354,1.07E-06
Pvr,7.04E-10,-0.22935972,0.058,0.132,1.25E-05
Epha3,8.02E-10,0.102049068,0.052,0.02,1.42E-05
Fgf10,9.84E-10,-0.220901775,0.006,0.056,1.74E-05
Cxcl9,1.73E-09,-0.606750391,0.035,0.096,3.07E-05
Adm,2.40E-09,-0.319249389,0.108,0.191,4.24E-05
Col3a1,1.36E-08,-0.041644278,0.929,0.973,0.000241347
Spp1,2.09E-08,0.18686605,0.111,0.061,0.000369744
Fgf2,2.19E-08,-0.231878054,0.041,0.1,0.000388339
Fgf1,2.45E-08,-0.205434523,0.015,0.063,0.000434142
Ifnar2,4.08E-08,-0.198307493,0.149,0.23,0.000722244
Col15a1,7.18E-08,-0.471412275,0.258,0.332,0.001270777
Wnt5a,8.08E-08,-0.223534393,0.071,0.136,0.001429934
Wnt11,1.08E-07,-0.179859513,0.015,0.059,0.001913423
Il15ra,1.20E-07,-0.175446073,0.03,0.081,0.002120162
Omd,2.41E-07,0.177058248,0.118,0.07,0.004267023
Ngf,2.51E-07,-0.176721092,0.021,0.066,0.004435421
Pros1,3.69E-07,-0.242049552,0.2,0.276,0.006534732
Gfra4,5.42E-07,0.100305522,0.031,0.011,0.009590873
Pgf,5.95E-07,-0.177778544,0.009,0.046,0.010526244
Tnfsf13b,9.23E-07,-0.127966717,0.007,0.042,0.016337577
Tnfrsf11b,9.88E-07,0.180797235,0.057,0.028,0.017478177
Mmp2,2.21E-06,0.221917837,0.845,0.822,0.039092449
Ntf3,3.74E-06,-0.161504562,0.024,0.064,0.066242602
Nectin1,5.45E-06,-0.144760181,0.032,0.075,0.096432379
Cxcl5,6.00E-06,-0.427515263,0.039,0.082,0.106177666
Il1rl1,9.10E-06,-0.248033018,0.026,0.064,0.161000981
Tnfrsf25,1.17E-05,0.027997932,0.009,0.002,0.206731405
Efna1,1.46E-05,0.044540372,0.029,0.011,0.258667948
Tslp,1.54E-05,-0.109714489,0.006,0.034,0.272074753
Tgfbr3,3.02E-05,0.256862361,0.458,0.409,0.534451974
Inhbb,7.29E-05,-0.09441604,0.005,0.028,1
Nrtn,9.66E-05,0.087728506,0.015,0.005,1
Col18a1,0.000100615,-0.088069861,0.132,0.189,1
Col9a2,0.000140915,0.02006625,0.011,0.003,1
Dag1,0.000192515,-0.227444448,0.291,0.343,1
Bmp5,0.000217505,0.03842776,0.045,0.024,1
Camp,0.000240767,0.016292339,0.005,0.001,1
Sorl1,0.000261248,0.116772435,0.032,0.016,1
Tnfrsf1b,0.00043347,-0.110555918,0.024,0.051,1
