"Gene"	"CDKN1A-high"	"CDKN2A-high"	"Double-high"
"Gas6"	"Absent"	"Absent"	"Present"
"Cdkn2b"	"Absent"	"Absent"	"Present"
"Ecm1"	"Absent"	"Absent"	"Present"
"Gpx3"	"Absent"	"Absent"	"Present"
"Tmem176a"	"Absent"	"Absent"	"Present"
"Plxdc2"	"Absent"	"Absent"	"Present"
"Cdkn2a"	"Absent"	"Absent"	"Present"
"Serpine2"	"Absent"	"Absent"	"Present"
"Fas"	"Absent"	"Absent"	"Present"
"Mxra8"	"Absent"	"Absent"	"Present"
"Tmem176b"	"Absent"	"Absent"	"Present"
"Mgp"	"Absent"	"Absent"	"Present"
"Cdkn1a"	"Present"	"Absent"	"Present"
"Aebp1"	"Absent"	"Absent"	"Present"
"Prelp"	"Absent"	"Absent"	"Present"
"Junb"	"Absent"	"Absent"	"Present"
"Btg2"	"Absent"	"Absent"	"Present"
"Hist1h2bc"	"Absent"	"Absent"	"Present"
"Mmp23"	"Absent"	"Absent"	"Present"
"Angptl4"	"Absent"	"Absent"	"Present"
"Col8a1"	"Absent"	"Absent"	"Present"
"Rnase4"	"Absent"	"Absent"	"Present"
"Mmp2"	"Absent"	"Absent"	"Present"
"Shisa4"	"Absent"	"Absent"	"Present"
"Pcolce"	"Absent"	"Absent"	"Present"
"Ly6a"	"Absent"	"Absent"	"Present"
"Ak1"	"Absent"	"Absent"	"Present"
"Mdm2"	"Absent"	"Absent"	"Present"
"Igfbp3"	"Absent"	"Absent"	"Present"
"Vamp5"	"Absent"	"Absent"	"Present"
"Glipr1"	"Absent"	"Absent"	"Present"
"Fbxw9"	"Absent"	"Absent"	"Present"
"Cd81"	"Absent"	"Absent"	"Present"
"Tnfrsf1a"	"Absent"	"Absent"	"Present"
"Lrp1"	"Absent"	"Absent"	"Present"
"Itm2c"	"Absent"	"Absent"	"Present"
"Zc2hc1a"	"Absent"	"Absent"	"Present"
"Ephx1"	"Absent"	"Absent"	"Present"
"Ddit4l"	"Absent"	"Absent"	"Present"
"Ifi35"	"Absent"	"Absent"	"Present"
"Itm2b"	"Absent"	"Absent"	"Present"
"Bgn"	"Absent"	"Absent"	"Present"
"Dok1"	"Absent"	"Absent"	"Present"
"Pik3r1"	"Absent"	"Absent"	"Present"
"Antxr1"	"Absent"	"Absent"	"Present"
"Cpt1c"	"Absent"	"Absent"	"Present"
"Mgst1"	"Absent"	"Present"	"Present"
"Ctxn1"	"Absent"	"Absent"	"Present"
"Ifitm3"	"Absent"	"Absent"	"Present"
"Id3"	"Absent"	"Absent"	"Present"
"Dcxr"	"Absent"	"Absent"	"Present"
"Ctsd"	"Absent"	"Absent"	"Present"
"Mmp14"	"Absent"	"Absent"	"Present"
"Phlda3"	"Absent"	"Absent"	"Present"
"Pbxip1"	"Absent"	"Absent"	"Present"
"Sdc2"	"Absent"	"Absent"	"Present"
"Trp53inp1"	"Absent"	"Absent"	"Present"
"Vmp1"	"Absent"	"Absent"	"Present"
"Mxd4"	"Absent"	"Absent"	"Present"
"Acadvl"	"Absent"	"Absent"	"Present"
"Fmod"	"Absent"	"Absent"	"Present"
"Ahnak2"	"Absent"	"Absent"	"Present"
"Zbtb20"	"Absent"	"Absent"	"Present"
"Prrx1"	"Absent"	"Absent"	"Present"
"Ptk7"	"Absent"	"Absent"	"Present"
"Egr1"	"Absent"	"Absent"	"Present"
"Tpp1"	"Absent"	"Absent"	"Present"
"Tagln"	"Absent"	"Absent"	"Present"
"Spp1"	"Absent"	"Absent"	"Present"
"Tgfb2"	"Absent"	"Absent"	"Present"
"Acta2"	"Absent"	"Absent"	"Present"
"Ifi27"	"Absent"	"Absent"	"Present"
"Nrp2"	"Absent"	"Absent"	"Present"
"Pmepa1"	"Absent"	"Absent"	"Present"
"Gsn"	"Absent"	"Absent"	"Present"
"Cd47"	"Absent"	"Absent"	"Present"
"Ier3"	"Absent"	"Absent"	"Present"
"Thbs1"	"Absent"	"Absent"	"Present"
"Crabp2"	"Absent"	"Absent"	"Present"
"Fn1"	"Absent"	"Absent"	"Present"
"Gpm6b"	"Absent"	"Absent"	"Present"
"Gadd45g"	"Absent"	"Absent"	"Present"
"Ercc5"	"Absent"	"Absent"	"Present"
"Wls"	"Absent"	"Absent"	"Present"
"Baiap2"	"Absent"	"Absent"	"Present"
"Anxa8"	"Absent"	"Absent"	"Present"
"Ly6e"	"Absent"	"Absent"	"Present"
"Ypel3"	"Absent"	"Absent"	"Present"
"Laptm4a"	"Absent"	"Absent"	"Present"
"Timp2"	"Absent"	"Absent"	"Present"
"Serinc3"	"Absent"	"Absent"	"Present"
"Flot1"	"Absent"	"Absent"	"Present"
"Plk2"	"Absent"	"Absent"	"Present"
"Crip2"	"Absent"	"Absent"	"Present"
"Neat1"	"Absent"	"Absent"	"Present"
"Gpx8"	"Absent"	"Absent"	"Present"
"Tspo"	"Absent"	"Absent"	"Present"
"Timp3"	"Present"	"Absent"	"Present"
"Fosl2"	"Absent"	"Absent"	"Present"
"B2m"	"Absent"	"Absent"	"Present"
"Ehd2"	"Absent"	"Absent"	"Present"
"Maged2"	"Absent"	"Absent"	"Present"
"Prnp"	"Absent"	"Absent"	"Present"
"Nfat5"	"Absent"	"Absent"	"Present"
"Rnd3"	"Absent"	"Absent"	"Present"
"Ttc28"	"Absent"	"Absent"	"Present"
"Tmem43"	"Absent"	"Absent"	"Present"
"Cyp1b1"	"Absent"	"Absent"	"Present"
"Txnip"	"Absent"	"Absent"	"Present"
"Prss23"	"Absent"	"Absent"	"Present"
"Actg2"	"Absent"	"Absent"	"Present"
"Tsc22d1"	"Absent"	"Absent"	"Present"
"Sparc"	"Absent"	"Absent"	"Present"
"Ncam1"	"Absent"	"Absent"	"Present"
"Gabarap"	"Absent"	"Absent"	"Present"
"Sox4"	"Absent"	"Absent"	"Present"
"Itgb5"	"Absent"	"Absent"	"Present"
"Lgals1"	"Absent"	"Absent"	"Present"
"Palld"	"Absent"	"Absent"	"Present"
"Abhd4"	"Absent"	"Absent"	"Present"
"Shisa5"	"Absent"	"Absent"	"Present"
"Ccl7"	"Absent"	"Absent"	"Present"
"Cdh13"	"Absent"	"Absent"	"Present"
"Pmaip1"	"Absent"	"Absent"	"Present"
"Pgpep1"	"Absent"	"Absent"	"Present"
"Os9"	"Absent"	"Absent"	"Present"
"Myl9"	"Absent"	"Absent"	"Present"
"Cmtm3"	"Absent"	"Absent"	"Present"
"Capg"	"Absent"	"Absent"	"Present"
"Homer3"	"Absent"	"Absent"	"Present"
"Fth1"	"Absent"	"Absent"	"Present"
"App"	"Absent"	"Absent"	"Present"
"Pls3"	"Absent"	"Absent"	"Present"
"Npdc1"	"Absent"	"Absent"	"Present"
"Nfkbia"	"Absent"	"Absent"	"Present"
"Malat1"	"Absent"	"Absent"	"Present"
"Qsox1"	"Absent"	"Absent"	"Present"
"Tspan17"	"Absent"	"Absent"	"Present"
"Cryab"	"Absent"	"Absent"	"Present"
"H2-D1"	"Absent"	"Absent"	"Present"
"Il11ra1"	"Absent"	"Absent"	"Present"
"Tpm2"	"Absent"	"Absent"	"Present"
"Nfix"	"Absent"	"Absent"	"Present"
"Mgmt"	"Absent"	"Absent"	"Present"
"Emp3"	"Absent"	"Absent"	"Present"
"Grina"	"Absent"	"Absent"	"Present"
"Rab13"	"Absent"	"Absent"	"Present"
"Ppp3ca"	"Absent"	"Absent"	"Present"
"Ccnd2"	"Absent"	"Absent"	"Present"
"Plscr3"	"Absent"	"Absent"	"Present"
"Slc48a1"	"Absent"	"Absent"	"Present"
"Susd6"	"Absent"	"Absent"	"Present"
"Cald1"	"Absent"	"Absent"	"Present"
"Hebp2"	"Absent"	"Absent"	"Present"
"Spats2l"	"Absent"	"Absent"	"Present"
"Atf5"	"Absent"	"Absent"	"Present"
"Thy1"	"Absent"	"Absent"	"Present"
"Nupr1"	"Absent"	"Absent"	"Present"
"Plod2"	"Absent"	"Absent"	"Present"
"Mast4"	"Absent"	"Absent"	"Present"
"Pnrc1"	"Absent"	"Absent"	"Present"
"Foxp1"	"Absent"	"Absent"	"Present"
"Col5a2"	"Absent"	"Absent"	"Present"
"Tm4sf1"	"Absent"	"Absent"	"Present"
"Arhgef17"	"Absent"	"Absent"	"Present"
"Col1a1"	"Absent"	"Absent"	"Present"
"Efemp2"	"Absent"	"Absent"	"Present"
"Pvt1"	"Absent"	"Absent"	"Present"
"Plin2"	"Absent"	"Absent"	"Present"
"Lrrk1"	"Absent"	"Absent"	"Present"
"Def6"	"Absent"	"Absent"	"Present"
"Mef2a"	"Absent"	"Absent"	"Present"
"Hcfc1r1"	"Absent"	"Absent"	"Present"
"Hs6st2"	"Absent"	"Absent"	"Present"
"Pbx1"	"Absent"	"Absent"	"Present"
"Glmp"	"Absent"	"Absent"	"Present"
"Sdc1"	"Absent"	"Absent"	"Present"
"Ubc"	"Absent"	"Absent"	"Present"
"Camk1"	"Absent"	"Absent"	"Present"
"Pam"	"Absent"	"Absent"	"Present"
"Nacc2"	"Absent"	"Absent"	"Present"
"Cox6b2"	"Absent"	"Absent"	"Present"
"Fuca1"	"Absent"	"Absent"	"Present"
"Lhfp"	"Absent"	"Absent"	"Present"
"Lamb1"	"Absent"	"Absent"	"Present"
"H2-K1"	"Absent"	"Absent"	"Present"
"Rhod"	"Absent"	"Absent"	"Present"
"Ift27"	"Absent"	"Absent"	"Present"
"Commd3"	"Absent"	"Absent"	"Present"
"Tmed3"	"Absent"	"Absent"	"Present"
"Rab34"	"Absent"	"Absent"	"Present"
"Ssbp2"	"Absent"	"Absent"	"Present"
"Nradd"	"Absent"	"Absent"	"Present"
"Tapbp"	"Absent"	"Absent"	"Present"
"Pld3"	"Absent"	"Absent"	"Present"
"Vkorc1"	"Absent"	"Absent"	"Present"
"Fndc3b"	"Absent"	"Absent"	"Present"
"Tcf4"	"Absent"	"Absent"	"Present"
"Serpinb6a"	"Absent"	"Absent"	"Present"
"Sh3bgrl"	"Absent"	"Absent"	"Present"
"Col6a1"	"Absent"	"Absent"	"Present"
"H13"	"Absent"	"Absent"	"Present"
"Vim"	"Absent"	"Absent"	"Present"
"Fat1"	"Absent"	"Absent"	"Present"
"Rcn3"	"Absent"	"Absent"	"Present"
"Slc25a17"	"Absent"	"Absent"	"Present"
"Anxa5"	"Absent"	"Absent"	"Present"
"Lamp2"	"Absent"	"Absent"	"Present"
"Aga"	"Absent"	"Absent"	"Present"
"Rap2b"	"Absent"	"Absent"	"Present"
"Ptpn14"	"Absent"	"Absent"	"Present"
"Lxn"	"Absent"	"Absent"	"Present"
"Pold4"	"Absent"	"Absent"	"Present"
"Sulf2"	"Absent"	"Absent"	"Present"
"Serinc1"	"Absent"	"Absent"	"Present"
"Aldh2"	"Absent"	"Absent"	"Present"
"Zmiz1"	"Absent"	"Absent"	"Present"
"Sqstm1"	"Absent"	"Absent"	"Present"
"Hpcal1"	"Absent"	"Absent"	"Present"
"Il6st"	"Absent"	"Absent"	"Present"
"Tmbim4"	"Absent"	"Absent"	"Present"
"Zfp36l1"	"Absent"	"Absent"	"Present"
"Lgmn"	"Absent"	"Absent"	"Present"
"Prkar1a"	"Absent"	"Absent"	"Present"
"Wdr35"	"Absent"	"Absent"	"Present"
"Akap13"	"Absent"	"Absent"	"Present"
"Anxa3"	"Absent"	"Absent"	"Present"
"Asap1"	"Absent"	"Absent"	"Present"
"Rhoc"	"Absent"	"Absent"	"Present"
"Fam173a"	"Absent"	"Absent"	"Present"
"Yipf3"	"Absent"	"Absent"	"Present"
"Tspan4"	"Absent"	"Absent"	"Present"
"Sfxn3"	"Absent"	"Absent"	"Present"
"Fam162a"	"Absent"	"Absent"	"Present"
"Bet1l"	"Absent"	"Absent"	"Present"
"Ccng1"	"Absent"	"Absent"	"Present"
"Cpe"	"Absent"	"Absent"	"Present"
"Bscl2"	"Absent"	"Absent"	"Present"
"Ociad2"	"Absent"	"Absent"	"Present"
"Atraid"	"Absent"	"Absent"	"Present"
"Marcks"	"Absent"	"Absent"	"Present"
"Parva"	"Absent"	"Absent"	"Present"
"Msn"	"Absent"	"Absent"	"Present"
"Cep170b"	"Absent"	"Absent"	"Present"
"Sesn2"	"Absent"	"Absent"	"Present"
"9530068E07Rik"	"Absent"	"Absent"	"Present"
"Psrc1"	"Absent"	"Absent"	"Present"
"Cacnb3"	"Absent"	"Absent"	"Present"
"Nfic"	"Absent"	"Absent"	"Present"
"Tanc1"	"Absent"	"Absent"	"Present"
"Fbn1"	"Absent"	"Absent"	"Present"
"Axl"	"Absent"	"Absent"	"Present"
"Snap47"	"Absent"	"Absent"	"Present"
"Ecscr"	"Absent"	"Present"	"Present"
"Copz2"	"Absent"	"Absent"	"Present"
"Nenf"	"Absent"	"Absent"	"Present"
"Cuedc1"	"Absent"	"Absent"	"Present"
"Vgll4"	"Absent"	"Absent"	"Present"
"Zfp385a"	"Absent"	"Absent"	"Present"
"Clic1"	"Absent"	"Absent"	"Present"
"Lpp"	"Absent"	"Absent"	"Present"
"Arl6ip5"	"Absent"	"Absent"	"Present"
"Eva1b"	"Absent"	"Absent"	"Present"
"Ucp2"	"Absent"	"Absent"	"Present"
"Samd4"	"Absent"	"Absent"	"Present"
"Anxa1"	"Absent"	"Absent"	"Present"
"Camk2d"	"Absent"	"Absent"	"Present"
"S100a11"	"Absent"	"Absent"	"Present"
"Tnfrsf12a"	"Absent"	"Absent"	"Present"
"Nxn"	"Absent"	"Absent"	"Present"
"Serpinh1"	"Absent"	"Absent"	"Present"
"Tmem50a"	"Absent"	"Absent"	"Present"
"Ppt1"	"Absent"	"Absent"	"Present"
"Col1a2"	"Absent"	"Absent"	"Present"
"Exoc4"	"Absent"	"Absent"	"Present"
"Erlec1"	"Absent"	"Absent"	"Present"
"Pdrg1"	"Absent"	"Absent"	"Present"
"Arhgef25"	"Absent"	"Absent"	"Present"
"Klf7"	"Absent"	"Absent"	"Present"
"Shc1"	"Absent"	"Absent"	"Present"
"Lbh"	"Absent"	"Absent"	"Present"
"Cnn2"	"Absent"	"Absent"	"Present"
"2200002D01Rik"	"Absent"	"Absent"	"Present"
"S100a10"	"Absent"	"Absent"	"Present"
"Ctsb"	"Absent"	"Absent"	"Present"
"Ifitm2"	"Absent"	"Absent"	"Present"
"Jun"	"Absent"	"Absent"	"Present"
"Tmem59"	"Absent"	"Absent"	"Present"
