"Xing_Pro"	"Xing_Sen"	"Panariello_Pro"	"Panariello_Sen"
"ANKRD65"	866.195792033731	1650.34460439656	511.359662814176	974.427027367211
"SLC35E2B"	5059.57935407297	7608.40148780451	3670.2915443408	6391.51950173085
"TNFRSF14"	887.162709843927	1742.24768070774	929.351880854166	3488.08785907559
"RNF207"	3800.25385309806	7428.50610438688	621.585118450368	1104.35063101617
"GPR153"	1348.43490166824	3157.94613282043	952.261485358943	1879.38101667213
"PLEKHG5"	2269.66885295374	4076.97689593225	1385.81494419463	2175.31811387254
"RP3-510D11.2"	2177.93858753413	5011.65073586301	1413.0471155871	4954.23963636422
"MTHFR"	2264.42712350119	3339.79690084043	3072.04828708398	6178.58915130617
"ECE1"	9753.54807883064	14506.9983649503	9153.89989806915	18684.6382497663
"HSPG2"	8106.33459836711	14663.4291331396	6082.71612436271	11025.4613652105
"ZNF436"	901.577465838437	1757.89075752667	341.48278412781	722.700045297348
"FUCA1"	4213.0400474863	7231.01225954795	3348.69256789638	4758.45198364321
"AHDC1"	5045.16459807846	8052.2737925415	4647.1916609596	8189.69826612238
"IFI6"	16656.9057678377	25216.6398321066	12682.8435051824	42595.9948046605
"SESN2"	5244.35031727532	7430.46148898924	5827.68467798878	8759.91852658171
"PTPRU"	3522.44219211296	5392.9507333243	2067.91599907271	2951.25074677606
"ADGRB2"	483.54954199765	829.08307140301	949.235688537558	1887.50124190019
"FAM167B"	2614.31256445884	5478.98765582838	1389.70525439356	4069.13508650567
"AZIN2"	922.544383648633	1577.99537410903	809.616778065048	2032.76304875771
"PHC2"	7899.28628499142	11783.147613855	6397.83125047559	10489.5265001585
"LINC01137"	1310.43236313726	2225.22767749204	770.713676075804	1526.6023428753
"CITED4"	7109.09557001965	11873.0953055639	9386.02173993831	14099.417737655
"PLK3"	6275.66058706435	10271.6353162264	5831.14273149893	12757.77608053
"BTBD19"	739.083852809416	1605.37075854215	453.869523207849	997.885455803829
"TSPAN1"	1905.36865600158	4239.2738179286	253.734676307626	856.232637936558
"MOB3C"	1068.00237595687	1787.22152656215	574.901396063275	1243.29670714076
"ECHDC2"	6639.96078401651	9512.94609050859	6961.06171594209	12569.2064057895
"PLPP3"	15659.6667394903	27987.4198136587	14072.9810162647	37240.2551431311
"NFIA"	6482.70890044004	9329.13993788623	4415.06981909044	8017.369041838
"KANK4"	4750.31731637258	8537.20917392816	1151.09956219286	1909.15517584168
"LEPR"	935.648707280005	1491.95845160494	2087.36755006733	4432.74072727325
"WLS"	11252.6827022597	20899.1506300834	22706.0116043667	44697.328644233
"WDR63"	78.6259417882357	230.73538307914	271.45720054717	1059.23826863806
"CLCA2"	24.898214899608	160.341537393978	67.8643001367926	425.860700849374
"PLPPR4"	1049.65632287295	2006.22460202709	1027.04189251605	1932.6136042783
"AKNAD1"	1229.18555662275	2391.43536869312	602.133567455746	1172.9214218309
"KIAA1324"	1348.43490166824	2532.22306006344	478.508154467703	1135.92928468085
"SLC16A4"	2759.77055676707	4440.67843197225	2620.34004731998	7017.67909153904
"TSPAN2"	3573.54905427532	5322.55688763914	4495.46956320155	8237.51737024318
"CD58"	9606.77965415927	15977.4475859292	3515.97590645013	6503.39816042857
"ITGA10"	387.88797948863	694.161533839784	567.985289042965	1439.98660710932
"RP11-14N7.2"	69196.0705031	97143.5070455225	32602.5284937417	63669.7837659716
"HIST2H2BE"	897.646168749025	1540.84306666408	1492.58234632067	5571.37675369678
"MTMR11"	3698.04012877335	6671.77226327139	1093.17716589776	3179.51930040931
"CTSK"	20503.0247536456	32862.1936273561	39936.195475403	111991.439603662
"S100A10"	860926.543501556	1225093.4272279	465668.401784498	944930.760349906
"S100A11"	1188871.4154032	1652292.16746051	587052.131584582	1198741.03131439
"S100A6"	2210635.18542677	3493378.67366403	2048224.97787251	6418055.49552891
"S100A5"	798.053309150593	2191.98613925183	519.572539900794	1135.92928468085
"S100A4"	1034423.85708384	1895223.28430461	546497.809044239	1770379.62444689
"S100A3"	10191.2324881185	19680.9460228097	2255.51540199862	5078.74975652781
"S100A2"	19997.1978614746	33001.0259341241	1967.63244727822	4617.7014130235
"S100A13"	229254.900201412	328829.207041412	152657.06897586	313085.20838758
"PBXIP1"	2585.48305246982	4792.64766039806	4217.09625563407	8235.71287574806
"ZBTB7B"	2260.49582641178	3371.08305447828	1401.37618499033	2402.68442025822
"CRABP2"	191840.74580148	409719.557272071	140118.166948038	348552.547689251
"DPT"	61.5903210674513	172.073845008172	1968.06470396699	4051.99238880198
"KIFAP3"	9364.34966697888	15216.802975609	5757.22683771937	11990.8659201021
"DNM3"	1191.18301809177	1996.44767901527	650.546316597916	1082.69669707468
"DNM3OS"	809.847200418828	1550.61998967591	5470.2083963765	12176.7288530999
"TNFSF4"	1043.10416105726	1828.28460321183	313.3860993578	747.962968229091
"MR1"	853.091468402358	1560.39691268774	935.403474496938	3434.85527146942
"LAMC1"	33997.8572292331	52429.7273432286	20516.1992190611	33550.0639006016
"NCF2"	3738.66353203061	5832.91226885655	294.799061740717	431.274184334747
"RGL1"	2585.48305246982	5887.66303772279	1589.84010129378	3011.70131236273
"EDEM3"	4979.6429799216	7500.8553346744	2705.49461500755	4281.16318968279
"HMCN1"	511.068621623532	846.6815328243	1241.44121014566	2116.672042781
"RGS2"	33397.6792069163	48047.7104493273	19796.0595755713	35138.9213035587
"PHLDA3"	50711.1115886858	69641.0226132505	39679.435002274	69334.0919861673
"BTG2"	5518.23068117101	14094.4122138512	3092.36435145614	12008.0086178057
"FMOD"	351.195873320786	1081.32768510817	357.476281612277	812.022522806009
"PRELP"	8326.48723537417	19987.9414053811	1914.89713124835	7258.57910663816
"IL19"	5524.7828429867	14927.4060544589	1057.2998607299	1743.14168229023
"LAMB3"	2390.22863036237	5185.67996547354	263.676580149322	452.928118276241
"HHAT"	660.45791102118	1067.63999289161	984.248480327878	2215.91924001284
"TGFB2"	2331.25917402119	4164.96920303871	1899.33589045265	5379.19808996603
"RP11-400N13.3"	352.506305683924	690.250764635053	1400.07941492402	3370.7957168925
"WNT9A"	2288.01490603766	4276.42612537354	542.049887716802	957.284329663528
"GUK1"	247593.090691154	330473.685492001	127395.988084178	209998.04687011
"LYST"	3526.37348920237	5922.85996056537	1785.22012461754	4678.15197861017
"NID1"	8900.45661042829	12651.3383773054	4442.30199048292	7907.2948776354
"KIF26B"	791.501147334907	1511.5122976286	697.230038985009	1150.36524064185
"ASAP2"	15256.053571644	24014.0783016518	5728.26563957182	9479.91183013637
"MAPRE3"	2210.69939661256	4174.74612605053	1627.87868990548	4237.85532179981
"FNDC4"	9399.73134078358	13222.3106811961	9005.20359713249	13554.4604001274
"YPEL5"	15216.7406007499	22191.6598522471	14345.3027301894	27135.0859704341
"EHD3"	5776.38585670905	9268.5230152129	10188.2901542943	24287.5936571277
"QPCT"	6042.40362642592	8335.80455988451	17483.0540339663	27108.0185530073
"CYP1B1"	13375.583130542	31137.5444080697	11345.4413101299	16483.1549657144
"AC007246.3"	5649.27391748474	9839.49531910365	5477.12450339681	9291.34215539587
"TMEM178A"	14087.1479037256	24109.8921471677	6213.68990105983	10927.1164152262
"PLEKHH2"	322.366361331767	674.607687816128	1601.51103189055	2901.62714816014
"PREPL"	5613.89224368003	8101.15840760064	4667.93998202053	6819.18469707535
"STON1"	1706.18293680472	3105.15074855656	1200.37682471257	2027.34956527234
"ACYP2"	5438.29430701964	9610.71532062687	4067.96769800863	7041.13751997566
"AHSA2"	2977.30232904786	4520.84920066924	2344.12802319635	3964.47440578845
"ANXA4"	38495.2610995202	58403.4273034554	13524.4472782164	30699.8648455525
"CYP26B1"	365.610629315296	752.823071910752	457.327576718004	1000.59219754652
"RETSAT"	3247.25139585414	5150.48304263096	3209.50591411264	6300.39252972707
"RNF103"	3497.54397721335	5400.77227173376	1110.46743344854	2196.97204781404
"THNSL2"	989.376434168633	1841.97229542839	3157.63511146032	5925.05767474118
"TRIM43"	87.7989683301966	827.127686800644	20.7483210609302	146.164054105082
"AC159540.1"	1694.38904553648	2815.75382740645	1092.31265252022	2256.52036615314
"ZC3H6"	3578.79078372786	5195.45688848537	3032.2806717172	4553.64185844659
"IL1B"	5422.56911866199	9945.08608763139	1202.53810815641	3302.22492607777
"PGM5P4-AS1"	43.2442679835297	131.010768358495	108.064172192345	468.266321484799
"GYPC"	191247.119940978	359210.017608366	66332.3824317939	109030.264137163
"NCKAP5"	705.012611367847	2289.75536937011	768.120135943188	2608.39679270241
"MBD5"	876.679250938829	1490.00306700258	2946.69384734086	4304.62161811941
"GALNT5"	3783.21823237728	9778.87839643031	5073.82901277498	15607.9751355791
"TANC1"	7531.05479094985	13030.6829901643	2714.13974878293	4261.31375023642
"PLA2R1"	640.801425574121	1327.70614500624	1244.89926365581	3728.08562692714
"DPP4"	6080.4061649569	15525.7537427828	1512.03389731529	4957.84862535447
"IFIH1"	402.30273548314	780.19845634387	2862.40379303083	4399.35757911344
"SLC38A11"	323.676793694904	561.195380878924	3887.7166587918	19401.9248115782
"GPR155"	1293.39674241648	2373.83690727183	883.964928533381	2376.51925007892
"CHN1"	41122.6779876104	56459.775008704	38889.2697752036	76221.8474740574
"LINC01116"	6628.16689274827	12874.252221975	1315.35710392522	2346.74509090937
"PDE1A"	248.98214899608	410.630766496774	2070.50953920533	3814.70136269312
"ITGAV"	21070.441966884	39242.613584875	13719.3950448513	21754.083385973
"COL3A1"	92006.7666482303	157723.277411411	131670.14222273	274414.891357063
"COL5A2"	68185.7271511212	96547.114741801	37708.7767581744	56834.3586184401
"GLS"	12746.5755962362	17307.1091155378	8135.07088263973	12705.4457401714
"SDPR"	9013.15379365809	15950.0722014961	4342.88295206596	11924.0996237825
"ANKRD44"	618.524075400788	1141.9446077815	796.649077401967	1553.66976030216
"PARD3B"	2246.08107041727	3562.7107455101	1282.50559557875	2381.03048631673
"GPR1"	1214.77080062824	2260.42460033462	778.062039784883	2719.37320415257
"IGFBP5"	782692.420989898	1457275.79491279	167124.268092283	484933.534889016
"DIRC3"	22611.5104259335	37232.4782136432	5036.22268085204	9558.40734067429
"TMBIM1"	12868.4458060079	19489.3183317778	8454.94083232907	14441.3694444811
"PLCD4"	57.6590239780395	140.787691370322	388.166506514903	1237.88322365538
"SERPINE2"	81672.6970325299	145453.239031567	142068.509127766	280916.485022996
"BHLHE40"	5135.58443113493	9929.44301081246	2226.55420385107	3848.98675810048
"CRELD1"	4612.72191824316	6806.69380083462	4361.46998968304	5954.83183391073
"HRH1"	2720.45758587296	4606.88612317333	569.714315798042	1767.50235797441
"FBLN2"	9588.43360107535	23701.2167652733	5958.22619799713	16355.9381038081
"PLCL2"	2031.17016286276	3259.62613214344	958.313079001715	1532.91807360823
"THRB"	389.198411851767	772.376917934408	740.455707861947	1379.53604152265
"RBMS3"	5291.52588234827	7778.51994821032	3531.9694039346	7947.8960037757
"TGFBR2"	6995.08795442671	12588.7660700297	3408.77624763533	8744.58032337315
"TRANK1"	357.748035136473	813.439994584085	464.675940427083	910.367472790292
"RP4-613B23.1"	220.15263700706	508.399996615053	134.431830207277	409.620250393253
"ZBTB47"	1948.61292398511	3075.81997952107	371.308495652897	785.857352626704
"CLEC3B"	17.0356207207844	70.3938456851612	220.018654583614	890.518033343923
"TMEM158"	23003.3297025115	39508.5458907967	26664.6183601167	63991.8860333513
"COL7A1"	17482.4781566142	29101.9890370071	7170.27395330647	10413.7377313633
"LAMB2"	8672.4413792424	14839.4137473525	5560.98230101807	10548.1725712501
"ABHD14B"	8135.16411035613	11616.939922654	8107.40645455849	16550.8235092816
"WNT5A"	13848.6492136346	30943.9613324355	7012.93251859442	19390.1955973599
"PDZRN3"	7460.29144334044	15418.2075896527	2757.36541765987	6729.86221956669
"ABI3BP"	4505.26646446591	14929.3614390613	684.262338321928	2633.65971563416
"CBLB"	2337.81133583688	3590.08612994322	4112.49013695188	6568.35996225305
"CCDC80"	147565.167548161	215364.104719944	49518.0294953538	87847.3032588967
"ZBTB20"	6767.07272324082	10905.1799273929	3072.91280046152	8615.55896697176
"PLSCR4"	1588.24402412236	2407.07844551204	1662.8914816958	3233.65413526304
"LXN"	6668.79029600553	12528.1491473563	9648.83380671009	23375.4216898423
"RARRES1"	1387.74787256236	2205.67383146839	596.514230501744	1205.40232274314
"ZMAT3"	20829.3224120668	44643.3858566088	11548.1696971627	32594.5840654332
"MASP1"	1489.96159688707	3320.24305481677	3424.33748843103	12310.2614457391
"FAM43A"	2716.52628878355	4514.98304686215	3399.69885717117	9626.07588424146
"APOD"	281.742958074511	1728.55998849118	23925.8399800739	73194.8079584861
"MYL5"	4893.15444395454	7717.90302553698	3214.26073768911	5739.19474174336
"SPON2"	24178.7875322456	39971.9720415574	16834.6690008123	38635.1293878623
"MXD4"	13515.7993933977	25531.4567530875	18836.0174698145	40634.5092884603
"ZFYVE28"	893.714871659613	1597.54922013269	595.217460435436	1408.40795344464
"STK32B"	3661.34802260551	6656.12918645247	1562.17567321254	2546.14173262062
"RP11-539L10.3"	1626.24656265334	2798.15536598516	2038.09028754763	4473.34185341355
"SOD3"	2383.67646854668	3748.47228273484	13192.0418845527	37031.8360289443
"PCDH7"	1736.32288115687	3584.21997613613	4006.58724820338	6750.61390626062
"CORIN"	321.055928968629	993.33537800172	238.173435511928	578.340485687391
"SPATA18"	1136.14485884001	2954.58613417441	716.249333290862	2909.7473733882
"CXCL6"	471.755650729414	727.403072079999	2511.84361843887	4524.7699465246
"CXCL1"	24991.2555973907	44371.58739688	30237.2198927956	60232.2217527595
"EREG"	1813.63839058197	3707.40920608516	5904.19411190096	19513.803470276
"SHROOM3"	7971.36006496397	13148.0060663062	5473.23419319789	7564.44092356175
