"Gene"	"Repro"	"RS"	"SIS"	"OIS"
"CLCA2"	TRUE	TRUE	TRUE	TRUE
"IL1B"	TRUE	TRUE	TRUE	TRUE
"DPP4"	TRUE	TRUE	TRUE	TRUE
"TMEM158"	TRUE	TRUE	TRUE	TRUE
"CXCL1"	TRUE	TRUE	TRUE	TRUE
"EREG"	TRUE	TRUE	TRUE	TRUE
"CDKN1A"	TRUE	TRUE	TRUE	TRUE
"PTCHD4"	TRUE	TRUE	TRUE	TRUE
"CD36"	TRUE	TRUE	TRUE	TRUE
"SEMA3C"	TRUE	TRUE	TRUE	TRUE
"EDA2R"	TRUE	TRUE	TRUE	TRUE
"IDS"	TRUE	TRUE	TRUE	TRUE
"TNFRSF10B"	TRUE	TRUE	TRUE	TRUE
"TNFRSF10C"	TRUE	TRUE	TRUE	TRUE
"TNFRSF10D"	TRUE	TRUE	TRUE	TRUE
"DUSP4"	TRUE	TRUE	TRUE	TRUE
"LY96"	TRUE	TRUE	TRUE	TRUE
"PAG1"	TRUE	TRUE	TRUE	TRUE
"MAMDC2"	TRUE	TRUE	TRUE	TRUE
"TM7SF2"	TRUE	TRUE	TRUE	TRUE
"CD163L1"	TRUE	TRUE	TRUE	TRUE
"MDM2"	TRUE	TRUE	TRUE	TRUE
"ISCU"	TRUE	TRUE	TRUE	TRUE
"ATP6V0A1"	TRUE	TRUE	TRUE	TRUE
"C3"	TRUE	TRUE	TRUE	TRUE
"PGPEP1"	TRUE	TRUE	TRUE	TRUE
"GDF15"	TRUE	TRUE	TRUE	TRUE
