"Gene"	"Repro"	"RS"	"SIS"	"OIS"
"ANKRD65"	TRUE	FALSE	FALSE	FALSE
"SLC35E2B"	TRUE	FALSE	FALSE	FALSE
"RP3-510D11.2"	TRUE	FALSE	FALSE	FALSE
"MTHFR"	TRUE	FALSE	FALSE	FALSE
"HSPG2"	TRUE	FALSE	FALSE	FALSE
"PTPRU"	TRUE	FALSE	FALSE	FALSE
"ADGRB2"	TRUE	FALSE	FALSE	FALSE
"FAM167B"	TRUE	FALSE	FALSE	FALSE
"AZIN2"	TRUE	FALSE	FALSE	FALSE
"PHC2"	TRUE	FALSE	FALSE	FALSE
"LINC01137"	TRUE	FALSE	FALSE	FALSE
"BTBD19"	TRUE	FALSE	FALSE	FALSE
"TSPAN1"	TRUE	FALSE	FALSE	FALSE
"MOB3C"	TRUE	FALSE	FALSE	FALSE
"ECHDC2"	TRUE	FALSE	FALSE	FALSE
"PLPP3"	TRUE	FALSE	FALSE	FALSE
"NFIA"	TRUE	FALSE	FALSE	FALSE
"KANK4"	TRUE	FALSE	FALSE	FALSE
"PLPPR4"	TRUE	FALSE	FALSE	FALSE
"KIAA1324"	TRUE	FALSE	FALSE	FALSE
"TSPAN2"	TRUE	FALSE	FALSE	FALSE
"CD58"	TRUE	FALSE	FALSE	FALSE
"ITGA10"	TRUE	FALSE	FALSE	FALSE
"RP11-14N7.2"	TRUE	FALSE	FALSE	FALSE
"MTMR11"	TRUE	FALSE	FALSE	FALSE
"S100A10"	TRUE	FALSE	FALSE	FALSE
"S100A6"	TRUE	FALSE	FALSE	FALSE
"S100A5"	TRUE	FALSE	FALSE	FALSE
"S100A4"	TRUE	FALSE	FALSE	FALSE
"S100A3"	TRUE	FALSE	FALSE	FALSE
"S100A2"	TRUE	FALSE	FALSE	FALSE
"S100A13"	TRUE	FALSE	FALSE	FALSE
"DPT"	TRUE	FALSE	FALSE	FALSE
"KIFAP3"	TRUE	FALSE	FALSE	FALSE
"DNM3OS"	TRUE	FALSE	FALSE	FALSE
"MR1"	TRUE	FALSE	FALSE	FALSE
"NCF2"	TRUE	FALSE	FALSE	FALSE
"HMCN1"	TRUE	FALSE	FALSE	FALSE
"RGS2"	TRUE	FALSE	FALSE	FALSE
"LAMB3"	TRUE	FALSE	FALSE	FALSE
"NID1"	TRUE	FALSE	FALSE	FALSE
"KIF26B"	TRUE	FALSE	FALSE	FALSE
"ASAP2"	TRUE	FALSE	FALSE	FALSE
"CYP1B1"	TRUE	FALSE	FALSE	FALSE
"STON1"	TRUE	FALSE	FALSE	FALSE
"AHSA2"	TRUE	FALSE	FALSE	FALSE
"ANXA4"	TRUE	FALSE	FALSE	FALSE
"RNF103"	TRUE	FALSE	FALSE	FALSE
"THNSL2"	TRUE	FALSE	FALSE	FALSE
"TRIM43"	TRUE	FALSE	FALSE	FALSE
"AC159540.1"	TRUE	FALSE	FALSE	FALSE
"ZC3H6"	TRUE	FALSE	FALSE	FALSE
"PGM5P4-AS1"	TRUE	FALSE	FALSE	FALSE
"MBD5"	TRUE	FALSE	FALSE	FALSE
"LINC01116"	TRUE	FALSE	FALSE	FALSE
"ITGAV"	TRUE	FALSE	FALSE	FALSE
"GLS"	TRUE	FALSE	FALSE	FALSE
"ANKRD44"	TRUE	FALSE	FALSE	FALSE
"GPR1"	TRUE	FALSE	FALSE	FALSE
"PLCD4"	TRUE	FALSE	FALSE	FALSE
"BHLHE40"	TRUE	FALSE	FALSE	FALSE
"HRH1"	TRUE	FALSE	FALSE	FALSE
"FBLN2"	TRUE	FALSE	FALSE	FALSE
"RBMS3"	TRUE	FALSE	FALSE	FALSE
"TRANK1"	TRUE	FALSE	FALSE	FALSE
"RP4-613B23.1"	TRUE	FALSE	FALSE	FALSE
"ZBTB47"	TRUE	FALSE	FALSE	FALSE
"CLEC3B"	TRUE	FALSE	FALSE	FALSE
"LAMB2"	TRUE	FALSE	FALSE	FALSE
"PDZRN3"	TRUE	FALSE	FALSE	FALSE
"ABI3BP"	TRUE	FALSE	FALSE	FALSE
"CBLB"	TRUE	FALSE	FALSE	FALSE
"CCDC80"	TRUE	FALSE	FALSE	FALSE
"ZBTB20"	TRUE	FALSE	FALSE	FALSE
"LXN"	TRUE	FALSE	FALSE	FALSE
"ZFYVE28"	TRUE	FALSE	FALSE	FALSE
"STK32B"	TRUE	FALSE	FALSE	FALSE
"RP11-539L10.3"	TRUE	FALSE	FALSE	FALSE
"PCDH7"	TRUE	FALSE	FALSE	FALSE
"CORIN"	TRUE	FALSE	FALSE	FALSE
"SHROOM3"	TRUE	FALSE	FALSE	FALSE
"CCNG2"	TRUE	FALSE	FALSE	FALSE
"FLJ20021"	TRUE	FALSE	FALSE	FALSE
"PCDH18"	TRUE	FALSE	FALSE	FALSE
"TBC1D9"	TRUE	FALSE	FALSE	FALSE
"EDNRA"	TRUE	FALSE	FALSE	FALSE
"PALLD"	TRUE	FALSE	FALSE	FALSE
"ANKH"	TRUE	FALSE	FALSE	FALSE
"C1QTNF3"	TRUE	FALSE	FALSE	FALSE
"HSPB3"	TRUE	FALSE	FALSE	FALSE
"PLPP1"	TRUE	FALSE	FALSE	FALSE
"PIK3R1"	TRUE	FALSE	FALSE	FALSE
"ANKRA2"	TRUE	FALSE	FALSE	FALSE
"MEF2C"	TRUE	FALSE	FALSE	FALSE
"ARRDC3"	TRUE	FALSE	FALSE	FALSE
"SNCAIP"	TRUE	FALSE	FALSE	FALSE
"FBN2"	TRUE	FALSE	FALSE	FALSE
"TGFBI"	TRUE	FALSE	FALSE	FALSE
"PDGFRB"	TRUE	FALSE	FALSE	FALSE
"CAMK2A"	TRUE	FALSE	FALSE	FALSE
"GALNT10"	TRUE	FALSE	FALSE	FALSE
"FAXDC2"	TRUE	FALSE	FALSE	FALSE
"NIPAL4"	TRUE	FALSE	FALSE	FALSE
"EBF1"	TRUE	FALSE	FALSE	FALSE
"SLIT3"	TRUE	FALSE	FALSE	FALSE
"ATXN1"	TRUE	FALSE	FALSE	FALSE
"ZSCAN16-AS1"	TRUE	FALSE	FALSE	FALSE
"C6orf15"	TRUE	FALSE	FALSE	FALSE
"TNXB"	TRUE	FALSE	FALSE	FALSE
"PI16"	TRUE	FALSE	FALSE	FALSE
"CUL7"	TRUE	FALSE	FALSE	FALSE
"CUL9"	TRUE	FALSE	FALSE	FALSE
"RUNX2"	TRUE	FALSE	FALSE	FALSE
"EFHC1"	TRUE	FALSE	FALSE	FALSE
"DST"	TRUE	FALSE	FALSE	FALSE
"CD109"	TRUE	FALSE	FALSE	FALSE
"SLC35A1"	TRUE	FALSE	FALSE	FALSE
"FAM26E"	TRUE	FALSE	FALSE	FALSE
"RNF217"	TRUE	FALSE	FALSE	FALSE
"SLC2A12"	TRUE	FALSE	FALSE	FALSE
"RP11-390P2.4"	TRUE	FALSE	FALSE	FALSE
"HECA"	TRUE	FALSE	FALSE	FALSE
"THBS2"	TRUE	FALSE	FALSE	FALSE
"FAM20C"	TRUE	FALSE	FALSE	FALSE
"FOXK1"	TRUE	FALSE	FALSE	FALSE
"CYTH3"	TRUE	FALSE	FALSE	FALSE
"AHR"	TRUE	FALSE	FALSE	FALSE
"FAM188B"	TRUE	FALSE	FALSE	FALSE
"AQP1"	TRUE	FALSE	FALSE	FALSE
"ELN"	TRUE	FALSE	FALSE	FALSE
"TP53TG1"	TRUE	FALSE	FALSE	FALSE
"FZD1"	TRUE	FALSE	FALSE	FALSE
"PDK4"	TRUE	FALSE	FALSE	FALSE
"ZKSCAN1"	TRUE	FALSE	FALSE	FALSE
"HBP1"	TRUE	FALSE	FALSE	FALSE
"LAMB1"	TRUE	FALSE	FALSE	FALSE
"RP11-138A9.1"	TRUE	FALSE	FALSE	FALSE
"ESYT2"	TRUE	FALSE	FALSE	FALSE
"LINC00685"	TRUE	FALSE	FALSE	FALSE
"LINC01546"	TRUE	FALSE	FALSE	FALSE
"ARHGAP6"	TRUE	FALSE	FALSE	FALSE
"CA5B"	TRUE	FALSE	FALSE	FALSE
"SRPX"	TRUE	FALSE	FALSE	FALSE
"EFNB1"	TRUE	FALSE	FALSE	FALSE
"ATP7A"	TRUE	FALSE	FALSE	FALSE
"XPNPEP2"	TRUE	FALSE	FALSE	FALSE
"LDOC1"	TRUE	FALSE	FALSE	FALSE
"PSD3"	TRUE	FALSE	FALSE	FALSE
"PCMTD1"	TRUE	FALSE	FALSE	FALSE
"PLAG1"	TRUE	FALSE	FALSE	FALSE
"ADHFE1"	TRUE	FALSE	FALSE	FALSE
"SULF1"	TRUE	FALSE	FALSE	FALSE
"SBSPON"	TRUE	FALSE	FALSE	FALSE
"RUNX1T1"	TRUE	FALSE	FALSE	FALSE
"TMEM67"	TRUE	FALSE	FALSE	FALSE
"BAALC"	TRUE	FALSE	FALSE	FALSE
"TRPS1"	TRUE	FALSE	FALSE	FALSE
"COL14A1"	TRUE	FALSE	FALSE	FALSE
"MINCR"	TRUE	FALSE	FALSE	FALSE
"PLEC"	TRUE	FALSE	FALSE	FALSE
"ALDH1A1"	TRUE	FALSE	FALSE	FALSE
"NTRK2"	TRUE	FALSE	FALSE	FALSE
"DAB2IP"	TRUE	FALSE	FALSE	FALSE
"MIR181A2HG"	TRUE	FALSE	FALSE	FALSE
"OLFML2A"	TRUE	FALSE	FALSE	FALSE
"ZER1"	TRUE	FALSE	FALSE	FALSE
"FIBCD1"	TRUE	FALSE	FALSE	FALSE
"RALGDS"	TRUE	FALSE	FALSE	FALSE
"COL5A1"	TRUE	FALSE	FALSE	FALSE
"CLIC3"	TRUE	FALSE	FALSE	FALSE
"ABCA2"	TRUE	FALSE	FALSE	FALSE
"EXD3"	TRUE	FALSE	FALSE	FALSE
"AKR1C1"	TRUE	FALSE	FALSE	FALSE
"AKR1C2"	TRUE	FALSE	FALSE	FALSE
"AKR1C3"	TRUE	FALSE	FALSE	FALSE
