"Human_Ensembl_ID"	"Mouse_Ensembl_ID"	"Human_Gene_Name"	"Mouse_Gene_Name"
"ENSG00000157227"	"ENSMUSG00000000957"	"MMP14"	"Mmp14"
"ENSG00000102265"	"ENSMUSG00000001131"	"TIMP1"	"Timp1"
"ENSG00000141756"	"ENSMUSG00000001555"	"FKBP10"	"Fkbp10"
"ENSG00000091136"	"ENSMUSG00000002900"	"LAMB1"	"Lamb1"
"ENSG00000182809"	"ENSMUSG00000006356"	"CRIP2"	"Crip2"
"ENSG00000196562"	"ENSMUSG00000006800"	"SULF2"	"Sulf2"
"ENSG00000107281"	"ENSMUSG00000015094"	"NPDC1"	"Npdc1"
"ENSG00000035862"	"ENSMUSG00000017466"	"TIMP2"	"Timp2"
"ENSG00000005243"	"ENSMUSG00000018672"	"COPZ2"	"Copz2"
"ENSG00000135679"	"ENSMUSG00000020184"	"MDM2"	"Mdm2"
"ENSG00000159388"	"ENSMUSG00000020423"	"BTG2"	"Btg2"
"ENSG00000106624"	"ENSMUSG00000020473"	"AEBP1"	"Aebp1"
"ENSG00000115738"	"ENSMUSG00000020644"	"ID2"	"Id2"
"ENSG00000185650"	"ENSMUSG00000021127"	"ZFP36L1"	"Zfp36l1"
"ENSG00000145632"	"ENSMUSG00000021701"	"PLK2"	"Plk2"
"ENSG00000164733"	"ENSMUSG00000021939"	"CTSB"	"Ctsb"
"ENSG00000181722"	"ENSMUSG00000022708"	"ZBTB20"	"Zbtb20"
"ENSG00000124762"	"ENSMUSG00000023067"	"CDKN1A"	"Cdkn1a"
"ENSG00000138061"	"ENSMUSG00000024087"	"CYP1B1"	"Cyp1b1"
"ENSG00000026103"	"ENSMUSG00000024778"	"FAS"	"Fas"
"ENSG00000165886"	"ENSMUSG00000025171"	"UBTD1"	"Ubtd1"
"ENSG00000135919"	"ENSMUSG00000026249"	"SERPINE2"	"Serpine2"
"ENSG00000106992"	"ENSMUSG00000026817"	"AK1"	"Ak1"
"ENSG00000148180"	"ENSMUSG00000026879"	"GSN"	"Gsn"
"ENSG00000138448"	"ENSMUSG00000027087"	"ITGAV"	"Itgav"
"ENSG00000101460"	"ENSMUSG00000027602"	"MAP1LC3A"	"Map1lc3a"
"ENSG00000172667"	"ENSMUSG00000027663"	"ZMAT3"	"Zmat3"
"ENSG00000116729"	"ENSMUSG00000028173"	"WLS"	"Wls"
"ENSG00000142798"	"ENSMUSG00000028763"	"HSPG2"	"Hspg2"
"ENSG00000138772"	"ENSMUSG00000029484"	"ANXA3"	"Anxa3"
"ENSG00000164692"	"ENSMUSG00000029661"	"COL1A2"	"Col1a2"
"ENSG00000111348"	"ENSMUSG00000030220"	"ARHGDIB"	"Arhgdib"
"ENSG00000176046"	"ENSMUSG00000030717"	"NUPR1"	"Nupr1"
"ENSG00000183087"	"ENSMUSG00000031451"	"GAS6"	"Gas6"
"ENSG00000087245"	"ENSMUSG00000031740"	"MMP2"	"Mmp2"
"ENSG00000109846"	"ENSMUSG00000032060"	"CRYAB"	"Cryab"
"ENSG00000136153"	"ENSMUSG00000033060"	"LMO7"	"Lmo7"
"ENSG00000030582"	"ENSMUSG00000034708"	"GRN"	"Grn"
"ENSG00000115183"	"ENSMUSG00000035168"	"TANC1"	"Tanc1"
"ENSG00000196576"	"ENSMUSG00000036606"	"PLXNB2"	"Plxnb2"
"ENSG00000123933"	"ENSMUSG00000037235"	"MXD4"	"Mxd4"
"ENSG00000117691"	"ENSMUSG00000037499"	"NENF"	"Nenf"
"ENSG00000124225"	"ENSMUSG00000038400"	"PMEPA1"	"Pmepa1"
"ENSG00000161677"	"ENSMUSG00000038695"	"JOSD2"	"Josd2"
"ENSG00000146278"	"ENSMUSG00000040128"	"PNRC1"	"Pnrc1"
"ENSG00000137801"	"ENSMUSG00000040152"	"THBS1"	"Thbs1"
"ENSG00000123384"	"ENSMUSG00000040249"	"LRP1"	"Lrp1"
"ENSG00000100300"	"ENSMUSG00000041736"	"TSPO"	"Tspo"
"ENSG00000174307"	"ENSMUSG00000041801"	"PHLDA3"	"Phlda3"
"ENSG00000198892"	"ENSMUSG00000041889"	"SHISA4"	"Shisa4"
"ENSG00000147889"	"ENSMUSG00000044303"	"CDKN2A"	"Cdkn2a"
"ENSG00000136026"	"ENSMUSG00000046841"	"CKAP4"	"Ckap4"
"ENSG00000171223"	"ENSMUSG00000052837"	"JUNB"	"Junb"
"ENSG00000129116"	"ENSMUSG00000058056"	"PALLD"	"Palld"
"ENSG00000115756"	"ENSMUSG00000071379"	"HPCAL1"	"Hpcal1"
"ENSG00000147883"	"ENSMUSG00000073802"	"CDKN2B"	"Cdkn2b"
"ENSG00000024422"	"ENSMUSG00000074364"	"EHD2"	"Ehd2"
