"Human_Ensembl_ID"	"Mouse_Ensembl_ID"	"Human_Gene_Name"	"Mouse_Gene_Name"
"ENSG00000141756"	"ENSMUSG00000001555"	"FKBP10"	"Fkbp10"
"ENSG00000091136"	"ENSMUSG00000002900"	"LAMB1"	"Lamb1"
"ENSG00000035862"	"ENSMUSG00000017466"	"TIMP2"	"Timp2"
"ENSG00000159388"	"ENSMUSG00000020423"	"BTG2"	"Btg2"
"ENSG00000185650"	"ENSMUSG00000021127"	"ZFP36L1"	"Zfp36l1"
"ENSG00000164733"	"ENSMUSG00000021939"	"CTSB"	"Ctsb"
"ENSG00000181722"	"ENSMUSG00000022708"	"ZBTB20"	"Zbtb20"
"ENSG00000165886"	"ENSMUSG00000025171"	"UBTD1"	"Ubtd1"
"ENSG00000135919"	"ENSMUSG00000026249"	"SERPINE2"	"Serpine2"
"ENSG00000148180"	"ENSMUSG00000026879"	"GSN"	"Gsn"
"ENSG00000101460"	"ENSMUSG00000027602"	"MAP1LC3A"	"Map1lc3a"
"ENSG00000172667"	"ENSMUSG00000027663"	"ZMAT3"	"Zmat3"
"ENSG00000116729"	"ENSMUSG00000028173"	"WLS"	"Wls"
"ENSG00000142798"	"ENSMUSG00000028763"	"HSPG2"	"Hspg2"
"ENSG00000030582"	"ENSMUSG00000034708"	"GRN"	"Grn"
"ENSG00000115183"	"ENSMUSG00000035168"	"TANC1"	"Tanc1"
"ENSG00000196576"	"ENSMUSG00000036606"	"PLXNB2"	"Plxnb2"
"ENSG00000123933"	"ENSMUSG00000037235"	"MXD4"	"Mxd4"
"ENSG00000146278"	"ENSMUSG00000040128"	"PNRC1"	"Pnrc1"
"ENSG00000123384"	"ENSMUSG00000040249"	"LRP1"	"Lrp1"
"ENSG00000171223"	"ENSMUSG00000052837"	"JUNB"	"Junb"
"ENSG00000147883"	"ENSMUSG00000073802"	"CDKN2B"	"Cdkn2b"
